id,answer
CORP-TAX-001,Die Steuerbemessungsgrundlage für die Körperschaftsteuer in Österreich ist der Gewinn des Unternehmens gemäß § 5 Abs. 1 KStG. Dieser Gewinn ergibt sich durch Abzug der Betriebsausgaben vom Umsatz (§ 6 Abs. 1 KStG). Eventuelle Sonderausgaben und Sondererträge müssen separat berücksichtigt werden (§ 6a KStG).
CORP-TAX-002,"Die Zinsenlose Geldvergabe an den Gesellschafter einer Körperschaft kann Steuerfolgen nach sich ziehen. Gemäß § 7 Abs. 1 KStG (Steuergesetz) ist die Zinsenlose Geldvergabe zwischen Gesellschafter und der Gesellschaft in der Regel als Dividende anzusehen. Dies bedeutet, dass die Gesellschaft eine Dividende-Abgabepflicht hat, die Gesellschafter eine Dividende-Eingangspflicht haben.

Zudem kann die Zinsenlose Geldvergabe als Vergünstigung (Besonderes Vergünstigungsmittel) angesehen werden, was gemäß § 9a Abs. 1 KStG die gesamten Gewinne der Gesellschaft um die Höhe der Vergünstigung h"
CORP-TAX-003,"Körperschaften, die Gewerbebetrieb betreiben und somit Einkünfte aus wirtschaftlicher Tätigkeit erzielen, müssen gemäß § 1 Abs. 1 KStG sämtliche Einkünfte, einschließlich der aus Gewerbebetrieb stammenden Einkünfte, melden und versteuerpflichtig stellen. Dies gilt unabhängig von der Größe des Unternehmens oder der Einkommenstürheit. (§ 1 Abs. 1, § 3 Abs. 1 KStG)"
CORP-TAX-004,"(a) Bei der österreichischen Tochtergesellschaft wird eine Dividende gemäß § 8 Abs. 1 KStG als Gesamteinkommen behandelt und mit dem progressiven Einkommensteuersatz berechnet und abgeführt.

(b) Bei der österreichischen Muttergesellschaft wird eine Dividende gemäß § 7 Abs. 1 S. 1 KStG als Dividende steuerfrei erhalten. Sie kann gemäß § 7 Abs. 1 S. 2 KStG jedoch die Dividendengrenze überschreiten, wenn sie die Dividenden aus dem Ausland steuerlich absetzt.

(c) Wenn die Muttergesellschaft die Dividende nicht steuerfrei erhält, sondern als Zinserträge oder sonstige Kapitalerträge steu"
CORP-TAX-005,"Offene Ausschüttungen (§ 8c KStG) sind transparente und gemeldete Zahlungen, die der Ausschüttende an den Empfänger gemacht hat. Sie sind dem Empfänger zugunsten des Steuerzahlers steuerpflichtig. Verdeckte Ausschüttungen (§ 8d KStG) hingegen sind unerwünschte, geheime Zahlungen, die der Ausschüttende an einen Dritten gemacht hat, der sie dem Empfänger weitergibt. Bei verdeckten Ausschüttungen handelt es sich um eine Steuerhinterziehung.

In der Regel sind offene Ausschüttungen steuerlich besser behandelt als verdeckte Ausschüttungen, da sie transparenter und dem Steuerrecht zugänglicher sind."
CORP-TAX-006,"Der maximal mögliche Verlustabzug in einem Steuerjahr in Österreich beträgt jährlich 50.000 Euro gemäß § 11 Abs. 1 KStG. Ausnahmen gibt es für Landwirte (§ 11a KStG), für Gewerbetreibende mit negativer Einkommensteuer (§ 11b KStG) und für Kapitalgesellschaften (§ 11c KStG). In diesen Fällen kann der Verlustabzug höher sein."
CORP-TAX-007,"Ein Mantelkauf (auch: Mantelgeschäft oder Mantelvertrag) ist eine Vereinbarung zwischen zwei Personen, wonach eine Person einem anderen die Nutzung von Sachbesitz (z.B. Wohnraum) für Geldvergütung überlassen gibt. Der Leasor behält den Besitz und die Haftung für den Sachbesitz.

Steuerlich gesehen, handelt es sich um eine Miete (§ 6 Abs. 1 Nr. 1 KStG). Die Mieterleistungen sind für den Mieter als Aufwand und für den Mietherrn als Einkommensteuerpflichtiger als Mieteinkommen zu versteuen (§ 8 Abs. 1 S. 1 KStG).

Der Mieter kann die Miete als Aufwand gegen steuerpflichtige Eink"
CORP-TAX-008,"Bei einem Forderungsverzicht eines Gesellschafters gilt die Körperschaft steuerlich als Einnahme, die allgemein dem Gewinnrechnungssystem (§ 5 Abs. 1 KStG) unterliegt. Der abgelehnte Kapitalanteil oder die abgelehnte Dividende sind Steuereingang (§ 7 KStG). Der Verzicht kann keinerlei Steuervorteile für die Körperschaft oder den Gesellschafter bedeuten (§ 23 Abs. 1 Satz 1 KStG)."
CORP-TAX-009,"Die Verlustverrechnung zwischen österreichischen und ausländischen Gruppenmitgliedern unterscheidet sich in folgenden Punkten:

1. Ort der Wirklichkeit: Die Verlustverrechnung zwischen österreichischen Gruppenmitgliedern erfolgt gemäß § 7 Abs. 1 KStG in Österreich, während die Verlustverrechnung mit ausländischen Gruppenmitgliedern gemäß § 7 Abs. 2 KStG in der Regel im Staat des ausländischen Gruppenmitgliedes stattfindet.
2. Steuerrecht: Die Verlustverrechnung mit österreichischen Gruppenmitgliedern erfolgt gemäß österreichischem Steuerrecht, während die Verlustverrechnung mit ausländischen Gruppenmitgliedern gemäß dem jeweiligen Steuerrecht des aus"
CORP-TAX-010,"Ja, Steuerumlagen zwischen Gruppenträgern und Gruppenmitgliedern sind steuerpflichtig. Sie fallen unter die Regeln des Abgaberechtes für Kapitalgesellschaften (Kapitalgesellschaftsteuer, KStG) in § 8a Abs. 1 KStG. Dort ist geregelt, dass Leistungen innerhalb von Steuerverbundenen betreffend, also zwischen Gruppenträgern und Gruppenmitgliedern, als Leistungen innerhalb der Steuerverbindung anzusehen sind. Diese Leistungen sind dem Steuersubjekt, also dem Gruppenträger oder dem Gruppenmitglied, steuerlich zuzurechnen.

In der Regel werden Steuerumlagen als Dividenden im Sinne des § 8c Abs. 1 KStG behandelt, weshalb sie"
CORP-TAX-011,"Ja, Abschreibungen auf den niedrigeren Teilwert einer Beteiligung an einem Gruppenmitglied sind abzugsfähig, sofern die Beteiligung an dem Gruppenmitglied für die Einkommensteuer gemäß § 7 Abs. 1 KStG oder für die Gesellschaftssteuer gemäß § 10a Abs. 1 KStG als Kapitalbeteiligung qualifiziert ist. Der Abschreibungsbetrag ist in diesem Fall gemäß § 7 Abs. 2 KStG oder § 10a Abs. 3 KStG anzurechnen."
CORP-TAX-012,"Die Dividende einer ausländischen EU-Tochtergesellschaft, an der eine Beteiligung von mindestens 15 % und eine Halbjahreslänge gehalten wird, wird gemäß § 8c Abs. 1 KStG als Quellenländerdividende behandelt. Sie ist von der österreichischen Dividendenabgabe befreit. (§ 8c KStG)

Falls die Dividende aus einem EU-Mitgliedsland aus einem Steuerparadies stammt, so gilt zusätzlich die Regelung des Artikels 96 AEUV (Merkerrichtlinie). In diesem Fall muss der Steuersatz der Quelleland- und der Herkunftsländer identisch sein, um die Steuerfreiheit in Österreich zu genießen. (§ 8"
