id,answer
CORP-TAX-001,Die Bemessungsgrundlage für Körperschaftsteuer ist das Einkommens aus der Abgabe von Dienstleistungen.
CORP-TAX-002,"Die Darlehen sind steuerfrei, da sie nicht als Einkünfte aus Kapitalvermögen angesehen werden."
CORP-TAX-003,"Körperschaften, die Gewerbebetrieb betreiben, sind verpflichtet, sämtliche Einkünfte den Einkünften aus Gewerbebetrieb zuzurechnen."
CORP-TAX-004,a) Bei der Tochtergesellschaft: Die Dividende wird steuerfrei gemäß § 27 Abs. 1 Z 1 EStG 1988 an die Tochtergesellschaft weitergeleitet. Die Tochtergesellschaft erhält die Dividende und stellt sie als Einkünfte aus Kapitalvermögen dar. Die Tochtergesellschaft erh
CORP-TAX-005,"Die Unterscheidung liegt in der Art und Weise, wie der Ausschüttungsbetrag auf Ebene der ausschüttenden Körperschaft versteht wird. Bei einer offenen Ausschüttung wird der Betrag auf der Körperschaftsteuer ausgewiesen, während eine verdeckte Ausschüttung auf Ebene der auss"
CORP-TAX-006,Der maximal mögliche Verlustabzug beträgt 50.000 Euro.
CORP-TAX-007,"Ein Mantelkauf ist ein Kauf von einem anderen Unternehmen, der als Einkaufsteuer steuerfrei gilt. Die Einkaufsteuer beträgt 7 % der Einkaufskosten."
CORP-TAX-008,Für die Körperschaft gilt das Verzicht auf die Forderung als Einkünfte aus Kapitalvermögen.
CORP-TAX-009,"Die Verlustverrechnung von ausländischen Gruppenmitgliedern unterscheidet sich von der inländischen Gruppenmitgliederverrechnung in der Ermittlung der Verluste. Die ausländischen Gruppenmitglieder werden nicht als inländische Gruppenmitglieder behandelt, da sie nicht in das Steuer"
CORP-TAX-010,"Nein. Gruppenträger und Gruppenmitglieder sind nicht steuerpflichtig, wenn sie sich nicht auf eine bestimmte Aktivität oder Dienstleistung spezialisiert haben."
CORP-TAX-011,Nein. Abschreibungen auf den niedrigeren Teilwert einer Beteiligung an einem Gruppenmitglied sind nicht abzugsfähig.
CORP-TAX-012,"Die Dividende der ausländischen EU-Tochtergesellschaft wird gemäß § 27 Abs. 1 Z 1 EStG 1988 steuerlich ausgeschlossen, da sie nicht aus einer Beteiligung an einer Tochtergesellschaft im Sinne von § 27 Abs. 1 Z 2 EStG 1988 besteht. Die Bete"
CORP-TAX-013,"Zur Befreiung von Beteiligungsbefreiungskosten (§ 10 KStG) und Abzugsverbot für Lizenzgebühren (§ 12 Abs. 1 Z 10 KStG) zählen die Beteiligungsbefreiungskosten und die Lizenzgebühren, die der Konzern im Rahmen"
CORP-TAX-014,"Die Voraussetzung ist, dass die Beteiligung für die Beteiligungsunternehmen aus einem anderen Einkommensstrands stammt."
CORP-TAX-015,Veräußerungsgewinne aus internationalen Schachtelbeteiligungen werden gemäß § 27 Abs. 1 Z 1 EStG 1988 als Einkünfte aus Kapitalvermögen behandelt.
CORP-TAX-016,"Nein. Die Zinsen, die für die Beteiligung aus dem Erwerb einer steuerbefreiten Beteiligung entstehen, sind nicht abzugsfähig."
CORP-TAX-017,"Der Unterschied liegt darin, ob der Abzug auf Einkünfte aus Gewerbebetrieb oder auf Einkünfte aus selbständiger Arbeit ausgerichtet ist. Für Einkünfte aus Gewerbebetrieb gilt § 11 KStG, für Einkünfte aus selbständiger Arbeit gilt § 12 KStG."
CORP-TAX-018,Ja. Freiwillige Spenden an gemeinnützige Organisationen sind grundsätzlich abzugsfähig.
CORP-TAX-019,"Die Aufwendungen (a) und (b) sind bei einer GmbH steuerlich nicht oder nur teilweise abzugsfähig. Die EU-Geldbuße ist steuerlich nicht abzugsfähig, da sie nicht als Einkünfte aus einer Geschäftsbeziehung angesehen werden. Die Spende an begünstigten Empfänger ist ebenfalls"
CORP-TAX-020,"Lizenzgebühren sind nicht abzugsfähig, wenn sie als weder wirtschaftliche noch als weder steuerpflichtige Entgelt ausgedrückt werden."
CORP-TAX-021,"Der Gewinn bei rechnungslegungspflichtigen Körperschaften ist gemäß § 25 Abs. 1 Z 1 EStG 1988 zu ermitteln, indem der Gewinn aus der Ermittlung der Gewinnanteilserträge nach § 25 Abs. 1 Z 2 EStG 1988 berechnet"
CORP-TAX-022,"Die relevante Gesetzesgrundlage ist § 7 Abs. 1 Z 1 EStG 1988. Die GmbH muss nachweisen, dass die Gruppe 60 % der Gesamtanteil an der ursprünglichen GmbH erhält."
