id,answer
CORP-TAX-001,"Die steuerliche Bemessungsgrundlage für die Körperschaftsteuer ist gemäß § 18 Abs. 1 KStG der Gewinn der Körperschaft, der nach den Vorschriften des Einkommensteuergesetzes (EStG) ermittelt wird.

Gemäß § 18 Abs. 1 KStG ist der Gewinn der Körperschaft die Summe der Gewinne der im Kalenderjahr gezeigten Geschäftsjahre, abzüglich der Verluste der im Kalenderjahr gezeigten Geschäftsjahre. Der Gewinn ist nach den Vorschriften des EStG zu ermitteln, wobei die Körperschaftsteuer auf den Gewinn anfällt.

Es ist jedoch zu beachten, dass die Körperschaftsteuer nicht nur auf den Gewinn anfällt, sondern auch auf andere Einkünfte, wie z.B. Einkünfte aus Vermietung und Verpachtung (§ 22 KStG)."
CORP-TAX-002,"Die Frage ist jedoch nicht direkt mit den angegebenen Gesetzestexten verbunden. Die Frage bezieht sich auf die steuerlichen Konsequenzen der Vergabe eines zinslosen Darlehens durch eine Körperschaft an ihren Gesellschafter. Dies ist ein Thema des Körperschaftsteuerrechts (KStG) und nicht direkt mit dem Umsatzsteuerrecht (UStG) verbunden.

Gemäß § 8 Abs. 3 KStG ist ein Darlehen, das eine Körperschaft an einen Gesellschafter vergibt, als Sonderbetriebsvermögen anzusehen, wenn es nicht zu einem Verlust führt. Wenn das Darlehen zinslos ist, bedeutet dies, dass die Körperschaft keine Zinsen auf das Darlehen erhält. Dies kann jedoch keine direkte steuerliche Konsequenz haben, da die Körperschaft keine Einnahmen aus dem Darlehen erzielt.

Es ist jedoch zu beachten, dass die Vergabe eines zinslosen Darlehens an einen Gesellschafter als eine Form der Dividenden"
CORP-TAX-003,"Laut § 50 Abs. 2 Z 3 des Bewertungsgesetzes 1955 sind Körperschaften verpflichtet, sämtliche Einkünfte den Einkünften aus Gewerbebetrieb zuzurechnen, wenn sie als rechnungslegungspflichtige Gewerbetreibende gelten.

Gemäß § 189 Abs. 1 UGB gilt eine Gesellschaft als rechnungslegungspflichtiger Gewerbetreibender, wenn sie Einkünfte aus Gewerbebetrieb erzielt. Dies gilt auch für Gesellschaften, die auf Antrag als rechnungslegungspflichtige Gewerbetreibende gelten.

Daher sind Körperschaften, die als rechnungslegungspflichtige Gewerbetreibende gelten, verpflichtet, sämtliche Einkünfte den Einkünften aus Gewerbebetrieb zuzurechnen."
CORP-TAX-004,"Eine interessante Frage!

Lassen Sie mich zunächst auf die relevanten Gesetzestexte hinweisen:

* § 98 EStG (Einkommensteuergesetz)
* § 23 Angestelltengesetz (oder gleichartige österreichische Rechtsvorschriften)
* § 6 Z 6 lit. c und d EStG (Abfertigungsrückstellung)
* § 6 EStG (Anschaffungskosten)

Jetzt zur Frage:

(a) Bei der Tochtergesellschaft:

Eine Dividende ist eine Einnahme der Tochtergesellschaft und unterliegt der Körperschaftsteuer (KSt). Gemäß § 2 KStG (Körperschaftsteuergesetz) unterliegen die Einkünfte der Körperschaftsteuer, wenn sie in Österreich erzielt werden. Die Dividende ist also in Österreich besteuert.

(b) Bei der österreichischen Muttergesellschaft:

Die Muttergesellschaft erhält die Dividende als Einnahme und unterliegt der Einkommensteuer (ESt)."
CORP-TAX-005,"Die steuerliche Behandlung einer offenen von einer verdeckten Ausschüttung auf Ebene der ausschüttenden Körperschaft unterscheidet sich insbesondere bei der Ermittlung des Einkommens und der Besteuerung.

Eine offene Ausschüttung (§ 8 Abs. 4 Z 1 EStG) ist eine Ausschüttung, bei der die Gesellschaft dem Gesellschafter einen bestimmten Betrag an Geld oder Werten überträgt. Diese Ausschüttung ist steuerlich als Einkünfte des Gesellschafters zu behandeln und unterliegt der Einkommensteuer.

Eine verdeckte Ausschüttung (§ 8 Abs. 4 Z 2 EStG) ist eine Ausschüttung, bei der die Gesellschaft dem Gesellschafter einen Vorteil gewährt, ohne dass ein bestimmter Betrag an Geld oder Werten übertragen wird. Beispiele für verdeckte Ausschüttungen sind die Übertragung von Wirtschaftsgütern oder die Gewährung von Krediten.

Die wichtigste D"
CORP-TAX-006,"Laut § 30a Abs. 1 EStG beträgt der maximal mögliche Verlustabzug in einem Veranlagungsjahr 60% des Verlustes. Der Verlust ist gleichmäßig auf das Jahr der Verlustentstehung und die folgenden vierzehn Jahre zu verteilen und ausschließlich mit Einkünften aus Vermietung und Verpachtung abzuziehen, soweit diese unter § 18 Abs. 6 und 7 EStG nicht zulässig sind.

Es gibt jedoch Ausnahmen:

* In den Kalenderjahren 1989 und 1990 entstandene Verluste können zu je einem Fünftel bei den Veranlagungen der Jahre 1998 bis 2002 abgezogen werden (§ 30a Abs. 1 EStG).
* In Fällen, in denen ein Verlust aus vorangegangenen Jahren von einem bei der Veranlagung für die Kalenderjahre 1996 oder 1997 zu berücksichtigenden Veräußerungs-, Aufgabe- oder Liquidationsgewinn abz"
CORP-TAX-007,"Ein Mantelkauf ist ein Erwerbsvorgang, bei dem ein Steuerpflichtiger ein Grundstück (z.B. ein Haus oder eine Wohnung) kauft, ohne dass der Verkäufer eine Gegenleistung erhält. Der Verkäufer erhält jedoch eine andere Gegenleistung, z.B. eine andere Immobilie oder eine Geldzahlung, die nicht direkt mit dem Grundstück zusammenhängt.

Gemäß § 15 EStG liegen Einnahmen vor, wenn dem Steuerpflichtigen Geld oder geldwerte Vorteile im Rahmen der Einkunftsarten des § 2 EStG zugehen. Bei einem Mantelkauf liegt jedoch kein geldwerter Vorteil im Sinne des § 2 EStG vor, da der Verkäufer keine Gegenleistung erhält, die direkt mit dem Grundstück zusammenhängt.

Gemäß § 4 Abs. 3 EStG sind jedoch auch geldwerte Vorteile anzusetzen, die nicht direkt mit dem Grundstück zusammenhängen, wenn sie im Rahmen eines Mantelkaufs"
CORP-TAX-008,"Bei einem Forderungsverzicht eines Gesellschafters ist die Steuerfolgen für die Körperschaft im Wesentlichen durch § 2 Abs. 1 KStG und § 3 Abs. 13 EStG bestimmt.

§ 2 Abs. 1 KStG regelt die Steuerpflicht der Körperschaft. Danach ist die Körperschaft steuerpflichtig, wenn sie in Österreich ansässig ist oder in Österreich eine Betriebsstätte hat.

§ 3 Abs. 13 EStG regelt die Steuerfolgen von Forderungsverzichten. Danach gilt: ""Wenn ein Gesellschafter einen Anspruch gegen das Unternehmen verliert, ohne dass ein Geldbetrag oder ein anderes Vermögenswert ausgetauscht wird, so ist der Verlust des Anspruchs als Einkünfte aus Gewerbebetrieb zu berücksichtigen.""

In diesem Zusammenhang ist jedoch auch § 3 Abs. 14 EStG relevant, der regelt, dass der Verlust des Anspruchs als Einkünfte aus Gewerbebetrieb"
CORP-TAX-009,"Die Verlustverrechnung von ausländischen Gruppenmitgliedern unterscheidet sich von der inländischer Gruppenmitglieder in folgenden Punkten:

1. **Zurechnung von Verlusten**: Ausländische Gruppenmitglieder, die nicht unbeschränkt steuerpflichtig sind, können ihre Verluste nicht unbeschränkt zurechnen lassen (§ 5 Abs. 1 EStG). Sie können nur 75% ihrer Verluste zurechnen lassen, wenn sie an unbeschränkt steuerpflichtige Gruppenmitglieder oder an den Gruppenträger beteiligt sind.
2. **Vortrag von Verlusten**: Wenn die Verluste eines ausländischen Gruppenmitglieds nicht im laufenden Jahr berücksichtigt werden können, können sie in folgenden Jahren als vortragsfähige Verluste des Gruppenträgers abgezogen werden (§ 5 Abs. 1 EStG).
3. **Verrechnung von Verlusten mit Gewinnen**: Wenn ein ausländ"
CORP-TAX-010,"Laut § 12 Abs. 3 Z 5 EStG sind Steuerumlagen zum Zwecke des Ausgleichs der steuerlichen Wirkungen, die sich aus der Zurechnung der Einkommen der Gruppenmitglieder zum Gruppenträger ergeben, steuerneutral. Das bedeutet, dass diese Steuerumlagen nicht steuerpflichtig sind.

Es ist jedoch zu beachten, dass § 12 Abs. 3 Z 5 EStG nur für Steuerumlagen zwischen Gruppenmitgliedern und Gruppenträgern gilt, die unbeschränkt steuerpflichtig sind. Wenn es sich um nicht unbeschränkt steuerpflichtige ausländische Gruppenmitglieder handelt, sind nur die nach § 92 Abs. 1 lit. b BAO festzustellenden Einkünfte steuerpflichtig (§ 12 Abs. 3 Z 6 EStG).

Insgesamt kann man sagen, dass Steuerumlagen zwischen Gruppenträgern und Gruppenmitgliedern, die unbeschränkt steuerpf"
