id,answer
CORP-TAX-001,"Die steuerliche Bemessungsgrundlage für die Körperschaftsteuer ist **das Einkommen**, welches der unbeschränkt Steuerpflichtige innerhalb eines Kalenderjahres bezogen hat.  Dies wird nach § 7 Abs. 1 KStG bestimmt. 


**Wichtiger Hinweis:** Diese Antwort basiert auf den gegebenen Textfragmenten und kann keine umfassende rechtliche Beratung ersetzen."
CORP-TAX-002,"Wenn eine Körperschaft ein zinsloses Darlehen an ihren Gesellschafter gibt, kann dies **keine**  ""klassische"" Zinsertragsermäßigung bedeuten. Es handelt sich dabei um eine **Sonderregelung**, da die Körperschaft keine Zinsen zahlt. 

Die relevanten Paragrafen sind:

* **§ 7 Abs. 3 EStG:**  Hierbei geht es um die Abgrenzung von ""Zinsen"" im Sinne des Körperschaftsteuergesetzes. 
* **§ 6 Z 14 lit. b KStG:**  Diese Regelung bezieht sich auf die Anwendung des niedrigeren Teilwertes bei der Gewinnermittlung.


Es ist wichtig zu beachten, dass die **Auswirkungen** dieser Situation von verschiedenen Faktoren abhängen, wie zum Beispiel:

* **Art der Vereinbarung**: Ist es ein klassisches Darlehen mit Tilgung oder ein konzernerweiteres Modell?
* **Zweck des Darlehens**: Wird es zur Finanzierung von Geschäftsaktivitäten genutzt?
* **Verhältnis zwischen Gesellschafter und Körperschaft**: Gibt es enge Beziehungen oder eine unabhängige Position?



**Wichtig:** Diese Informationen dienen nur der allgemeinen Orientierung. Die konkrete rechtliche Beurteilung erfordert eine detaillierte Analyse der jeweiligen Sachlage."
CORP-TAX-003,"Gemäß § 13 Abs. 1 KStG müssen **Privatstiftungen**, die die Offenlegungsverpflichtungen gemäß § 6 erfüllen, alle Einkünfte aus Gewerbebetrieb  **den Einkünften aus Gewerbebetrieb zuordnen**. 


Hierbei gilt:

* **§ 2 Abs. 3 KStG**:  Bei der Einkommensermittlung von Privatstiftungen, die die Offenlegungsverpflichtungen gemäß Abs. 6 erfüllen, gelten Einkünfte aus Gewerbebetrieb als Gewerbesteuerertrag.
* **§ 15 und 16 EStG**:  Die Einkünfte aus Gewerbebetrieb fallen in die Kategorie ""gewerbliche Einkünfte"".



Letztendlich muss die Kasse die Einkünfte aus Gewerbebetrieb zuordnen."
CORP-TAX-004,"##  Steuerliche Behandlung von Dividenden in Österreich

**Bei der Tochtergesellschaft:**

* **Ausnahmen**:  Der § 1 EStG regelt, dass Gewinne aus Aktien, Anteilen an Gesellschaften mit beschränkter Haftung etc., die mindestens zu einem Zehntel am Stammkapital beteiligt sind, als Körperschaftsgewinne versteuert werden. 
* **Verhältnis zur Muttergesellschaft**:  Es muss geprüft werden, ob die Tochtergesellschaft direkt oder indirekt zu der österreichischen Muttergesellschaft gehört. 
* **Besteuerung**:  In Österreich werden Dividenden aus der Tochtergesellschaft als Körperschaftsgewinne versteuert.


**Bei der österreichischen Muttergesellschaft:**

* **Abgrenzung**:  Die Dividenden erhaltene Muttergesellschaft kann sie als Körperschaftsgewinne versteuern. 
* **Regelungen**:  Die Regelungen im § 1 EStG gelten auch für die Muttergesellschaft. 



**Wichtiger Hinweis:** Diese Informationen dienen lediglich der allgemeinen Orientierung. Für eine genaue Beurteilung Ihrer individuellen Situation sollten Sie sich an einen Steuerberater wenden."
CORP-TAX-005,"Die Unterscheidung zwischen offenen und verdeckten Ausschüttungen liegt in der **Erläuterung des § 6 Z 14 lit. b des Einkommensteuergesetzes 1988**.  

**Offene Ausschüttungen** werden nach § 6 Z 14 lit. b direkt als **Verteilung des Einkommens** betrachtet. Die **gezielte Verteilung** erfolgt durch offene Ausschüttungen wie z. B. Dividende. 

**Verdeckte Ausschüttungen** hingegen werden **nicht** als solche behandelt. Der nicht mehr werthaltige Teil der Forderung wird **steuerwirksam**, da diese nicht als direkte Ausschüttung angesehen wird.


Es ist wichtig zu beachten, dass § 6 Z 14 lit. b des Einkommensteuergesetzes 1988 **ohne Berücksichtigung der Art der Ausschüttung** die **tatsächlichen Einkommensverhältnisse** festlegt."
CORP-TAX-006,"Der maximale Verlustabzug in einem Veranlagungsjahr ist **maximal 50 %**  von den Verlusten aus früheren Jahren, die nicht bis zur Veranlagung 1995 abgezogen wurden. 

Es gibt folgende Ausnahmen:

* **Verluste aus Kalenderjahren 1989 und 1990:** Diese Verluste müssen bis zur Veranlagung 1995 abgezogen werden. Nach Ablauf dieses Zeitrahmens können sie **in fünf jährlichen Abschnitten** (1998-2002) abgezogen werden.
* **Vortragfähige Verluste:** Es gibt keine Ausnahmen für diese Art von Verlusten.


**Wichtiger Hinweis:**  Die Informationen hier sind nur allgemeine Hinweise und ersetzen keine professionelle Steuerberatung."
CORP-TAX-007,"Ein **Mantelkauf** ist ein Kauf eines Vermögenswerts durch einen Unternehmer, der sich in einem bestimmten Zeitraum mit einer anderen Person über das Eigentum an diesem Wert verhandelt.  Der Mantelkauf erfolgt oft in Form eines ""Verkaufs"" oder ""Kauf"". Es handelt sich um einen Kaufvertrag, der vom Käufer und Verkäufer abgeschlossen wird.


Im Rahmen des Mantelkaufs können folgende Punkte relevant sein:

* **Steuerliche Behandlung:** Der Mantelkauf muss gemäß § 3a Abs. 1a UStG 1994 versteuert werden. 
    * In diesem Fall fallen die Umsatzsteuern auf den Mantelkauf selbst an. 
    * Der Mantelkauf wird als Umsatz angesehen, da es sich um einen wirtschaftlichen Vorgang handelt. 
* **Differenzierung**: Es gibt keine spezifische Regelung für Mantelkauf in Österreich. 
    * Es ist wichtig, dass der Mantelkauf korrekt dokumentiert und ausgewiesen wird. 



Es ist wichtig zu beachten, dass diese Informationen nur allgemeine Hinweise darstellen und keine rechtliche Beratung ersetzen. Im konkreten Fall sollten Sie sich immer an einen qualifizierten Steuerberater wenden."
CORP-TAX-008,"Bei einem Forderungsverzicht eines Gesellschafters ist der nicht mehr werthaltige Teil der Forderung steuerwirksam.  Die relevanten Paragrafen sind § 6 Z 14 lit. b KStG. 


**Wichtigste Punkte:**

* **Nicht mehr werthaltiger Teil:** Der Gesellschafter kann Forderungen überlassen, die nicht mehr wertvoll sind.
* **Keine Berücksichtigung der Verteilung:** Es spielt keine Rolle, wie die Auszahlung erfolgt (offene vs. verdeckte Ausschüttung, etc.).
* **Einkommensverwendung:** Die Verwendung der Gelder ist irrelevant.
* **Sonderausgaben:**  Es können Ausgaben abgezogen werden, wenn sie nicht Betriebsausgaben oder Werbungskosten sind.
* **Firmenwertabschreibung:** Bei der Anschaffung einer Beteiligung muss man die Differenz zwischen dem Handelswert und den Anschaffungskosten berücksichtigen.



Bitte beachten Sie, dass dies nur eine kurze Zusammenfassung ist. Um detailliertere Informationen zu erhalten, sollten Sie sich an einen Steuerberater wenden."
CORP-TAX-009,"Die Verlustverrechnung von ausländischen Gruppenmitgliedern unterscheidet sich von der inländischen durch einige wichtige Punkte:

**1.  Grenzen:** 
* **Ausländer**: Der Verlust kann nur bis zu einem bestimmten Grad (75%) der Summe der eigenen Einkommensüberschüsse der unbeschränkt steuerpflichtigen Mitglieder und des Gruppenträgers zuteil werden.
* **Inländer**: Die Verluste können auch vollständig abgezogen werden.


**2.  Berechnung:**
* **Ausländer**:  Der Verlust muss in den nächsten Jahren als ""vortragsfähige Verluste"" des Gruppenträgers abzugsfähig sein.
* **Inländer**: Es gibt keine solche Regelung.

**3.  Abzug von Verlusten:**
* **Ausländer**:  Es kann ein Betrag in Höhe der nicht verrechneten Verluste beim beteiligten inländischen Gruppenmitglied bzw. Gruppenträger als Gewinn zuzurechnen.
* **Inländer**:  Es gibt keine solche Regelung.

**4.  Mindest-Steuern:**
* **Ausländer**:  Es wird geprüft, ob es einen Anspruch auf die verrechenbare Mindeststeuer gibt.
* **Inländer**:  Es wird geprüft, ob es einen Anspruch auf die verrechenbare Mindeststeuer gibt.

**5.  Finanzielle Verbindung:**
* **Ausländer**:  Eine ausreichende finanzielle Verbindung"
CORP-TAX-010,"Nein, Steuerumlagen zwischen Gruppenträgern und Gruppenmitgliedern sind **steuerneutral**.   (§ 12 Abs. 3 KStG).


**Wichtiger Hinweis:** Ich bin kein Steuerberater. Diese Informationen dienen lediglich zur allgemeinen Information und ersetzen keine professionelle Beratung."
