id,answer
CORP-TAX-001,"Die steuerliche Bemessungsgrundlage für die Körperschaftsteuer ist gemäß § 7 Abs. 1 Körperschaftsteuergesetz (KStG) die Einkünfte, die die Körperschaft erzielt."
CORP-TAX-002,"Nach § 10 Abs. 1 des Körperschaftssteuergesetzes (KStG) wird die Körperschaft für die gesamte Zinsenrente verantwortlich gemacht. Dies gilt auch, wenn die Körperschaft den Gesellschaftern einen Zinsenbetrag aus einer anderen Quelle entgegenbringt."
CORP-TAX-003,"Nach § 7 Abs. 1 KStG sind die Körperschaften verpflichtet, sämtliche Einkünfte den Einkünften aus Gewerbebetrieb zuzurechnen, die sie nach § 1 Abs. 2 KStG erwirtschaftet haben."
CORP-TAX-004,Nach § 7 Absatz 1 KStG (Körperschaftsteuergesetz) ist die Dividende einer österreichischen Tochtergesellschaft für die Tochtergesellschaft als Gewinn ausgeschrieben und für die Muttergesellschaft als Dividende ausgeschrieben.
CORP-TAX-005,"Die offene Ausschüttung wird gemäß § 7 Abs. 1 KStG als Gegenstand der Steuerpflicht angesehen, während die verdeckte Ausschüttung gemäß § 7 Abs. 2 KStG nicht als Gegenstand der Steuerpflicht angesehen wird."
CORP-TAX-006,"Nach § 11 Abs. 1 KStG (Körperschaftsteuergesetz) ist der maximal mögliche Verlustabzug in einem Veranlagungsjahr auf 500.000 Euro begrenzt. Ausnahmen sind die Verluste, die aufgrund von § 11 Abs. 2 KStG (Körperschaftsteuergesetz) nicht berücksichtigt werden."
CORP-TAX-007,"Ein Mantelkauf ist eine Vereinbarung, mit der die Einkommensteuer auf die Einkünfte eines Käufers gemäß § 7 Abs. 1 KStG auf den Verkäufer überträgt wird. Dieser wird in diesem Fall als Mantelkäufer bezeichnet."
CORP-TAX-008,Nach § 25 Abs. 1 Körperschaftsteuergesetz (KStG) gilt der Forderungsverzicht eines Gesellschafters als Forderung des Gesellschafters gegen die Körperschaft.
CORP-TAX-009,Nach § 102 Abs. 1 KStG ergibt sich die Verlustverrechnung zwischen den Gruppenmitgliedern ausländischer Steuergebiete gemäß § 102 Abs. 1 KStG aus den Gesamterträgen der Gruppenmitglieder und den Gesamtlossen der Gruppenmitglieder. Die Verlustverrechnung zwischen den Gruppenmitgliedern ausländischer Steuergebiete und den Gruppenmitgliedern ausländischer Steuergebiete ist gemäß § 102 Abs. 2 KStG nach dem Verlustverteilungsmaß zu erfolgen.
CORP-TAX-010,"Ja, gemäß § 7 Abs. 1 KStG sind Steuerumlagen zwischen Gruppenträgern und Gruppenmitgliedern steuerpflichtig."
CORP-TAX-011,"Ja, gemäß § 7 Absatz 1 KStG sind Abschreibungen auf den niedrigeren Teilwert einer Beteiligung an einem Gruppenmitglied abzugsfähig."
CORP-TAX-012,"Nach § 7 Absatz 2 KStG (Abgabenordnung) ist eine Dividende einer ausländischen EU-Tochtergesellschaft, die seit zwei Jahren gehalten wird und eine Beteiligung von mindestens 15 % ausmacht, gemäß § 7 Absatz 1 KStG als Dividende ausländischer Tochtergesellschaft zu behandeln."
