id,prompt,correct_answer,sources,baseline_answer,tuned_answer,rag_answer,rag_bertscore
CORP-TAX-001,Was ist die steuerliche Bemessungsgrundlage für die Körperschaftsteuer?,"Das Einkommen, das der unbeschränkt Steuerpflichtige innerhalb eines Kalenderjahres bezogen hat (§ 7 Abs. 1 KStG).",§ 7 Abs. 1 KStG 1988,Die steuerliche Bemessungsgrundlage für die Körperschaftsteuer ist der Körperschaftssteuerbetrag.,Die Bemessungsgrundlage für Körperschaftsteuer ist das Einkommens aus der Abgabe von Dienstleistungen.,"an Personenvereinigungen, die nicht mit der Überwachung der Geschäftsführung beauftragt sind, für diese Funktion gewährt werden.",0.8096144199371338
CORP-TAX-002,"Welche steuerlichen Konsequenzen hat es, wenn eine Körperschaft ein zinsloses Darlehen an ihren Gesellschafter vergibt?",Die nicht verrechneten Zinsen stellen eine verdeckte Ausschüttung dar (§ 8 Abs. 2 KStG) – das Einkommen wird um die fremdüblichen Zinsen erhöht. Grundlage der Einkommensermittlung ist § 7 Abs. 2/3 KStG. § 12 Abs. 1 Z 2 KStG kann zusätzlich greifen bei unangemessen hohen Gesellschaftervorteilen.,§ 7 Abs. 2/3 KStG 1988; § 8 Abs. 2 KStG 1988; § 12 Abs. 1 Z 2 KStG 1988,Das zinslose Darlehen an den Gesellschafter führt zu einer Gewinnausgleichssteuer (GAS) von 4% auf den Nettobetrag des Darlehens.,"Die Darlehen sind steuerfrei, da sie nicht als Einkünfte aus Kapitalvermögen angesehen werden.",äge abzugsfrei.,0.7729088068008423
CORP-TAX-003,"Welche Körperschaften sind verpflichtet, sämtliche Einkünfte den Einkünften aus Gewerbebetrieb zuzurechnen?","Steuerpflichtige, die aufgrund ihrer Rechtsform nach unternehmensrechtlichen Vorschriften zur Rechnungslegung verpflichtet sind, rechnungslegungspflichtige Erwerbs- und Wirtschaftsgenossenschaften sowie vergleichbare ausländische Körperschaften (§ 7 Abs. 3 KStG).",§ 7 Abs. 3 KStG 1988,"Körperschaften, die verpflichtet sind, sämtliche Einkünfte den Einkünften aus Gewerbebetrieb zuzurechnen, sind:

- Körperschaften, die nach § 2 Abs. 1 UGB (Unternehmensgesetzbuch) als Unternehmer gelten
- Körperschaften, die nach § 2 Abs. 2 UGB als Unternehmer gelten, weil sie Gewerbebetrieb führen
- Körperschaften, die nach § 2 Abs. 3 UGB als Unternehmer gelten, weil sie Gewerbebetrieb führen und keine Einkünfte aus Land- und","Körperschaften, die Gewerbebetrieb betreiben, sind verpflichtet, sämtliche Einkünfte den Einkünften aus Gewerbebetrieb zuzurechnen.","kann die Anforderungen der Körperschaftsteuererhebung nach § 1 Abs. 1 bis 3 des Einkommensteuergesetzes erfüllen, wenn die Körperschaftsteuererhebung auf die von der Körperschaft abgewanderte Leistung oder Leistungsbereich nicht erheblich ist.",0.8215460777282715
CORP-TAX-004,Wie wird eine Dividende einer österreichischen Tochtergesellschaft (a) bei der Tochter und (b) bei der österreichischen Muttergesellschaft steuerlich behandelt?,(a) Tochter: Die Ausschüttung ist Einkommensverwendung und beeinflusst das steuerpflichtige Einkommen der Tochter nicht (§ 8 Abs. 2 KStG). (b) Mutter: Die Dividende ist als Beteiligungsertrag steuerfrei – ohne Mindestquote oder Haltefrist (§ 10 Abs. 1 Z 1 KStG).,§ 8 Abs. 2 KStG 1988; § 10 Abs. 1 Z 1 KStG 1988,"(a) Bei der Tochtergesellschaft wird die Dividende als Einkommen aus Kapitalvermögen behandelt und unterliegt der Körperschaftsteuer. Die Tochtergesellschaft muss also die Dividende als Einkommen aus Kapitalvermögen versteuern.

(b) Bei der österreichischen Muttergesellschaft wird die Dividende als Einkommen aus Kapitalvermögen behandelt und unterliegt der Körperschaftsteuer. Die Muttergesellschaft muss also die Dividende als Einkommen aus Kapitalvermögen versteuern.",a) Bei der Tochtergesellschaft: Die Dividende wird steuerfrei gemäß § 27 Abs. 1 Z 1 EStG 1988 an die Tochtergesellschaft weitergeleitet. Die Tochtergesellschaft erhält die Dividende und stellt sie als Einkünfte aus Kapitalvermögen dar. Die Tochtergesellschaft erh,"Leistungen, die regelmäßig mit dem Betrieb eines Museums verbunden sind, c)die Leistungen, die regelmäßig mit dem Betrieb eines Krankenhauses verbunden sind, d)die Leistungen, die regelmäßig mit dem Betrieb eines Krankenhauses verbunden sind, e)die Leistungen, die regelmäßig mit dem Betrieb eines Krankenhauses verbunden sind, f)die Leistungen, die regelmäßig mit dem Betrieb eines Krankenhauses verbunden sind, g)die Le",0.7596833109855652
CORP-TAX-005,Was unterscheidet die steuerliche Behandlung einer offenen von einer verdeckten Ausschüttung auf Ebene der ausschüttenden Körperschaft?,"Im Ergebnis unterscheiden sie sich nicht. Beide sind Einkommensverwendung nach § 8 Abs. 2 KStG. Bei verdeckten Ausschüttungen werden die nicht fremdüblichen Aufwendungen dem Einkommen hinzugerechnet, da keine betriebliche Veranlassung vorliegt.",§ 8 Abs. 2 KStG 1988 ,"Eine offene Ausschüttung ist eine direkte Zahlung an Gesellschafter, z.B. als Dividende. Hierbei wird die Gewinnverteilung transparent durchgeführt.

Eine verdeckte Ausschüttung hingegen ist eine Zahlung, die nicht direkt an Gesellschafter erfolgt, sondern in Form von Leistungen, wie z.B. Miete, Lohn oder Provisionen, an Gesellschafter oder deren Familienmitglieder. Diese Zahlungen werden nicht als Gewinnverteilung, sondern als Geschäftsleistung behandelt.

Die steuerliche Behandlung unterscheidet sich insofern, als offene Ausschüttungen ste","Die Unterscheidung liegt in der Art und Weise, wie der Ausschüttungsbetrag auf Ebene der ausschüttenden Körperschaft versteht wird. Bei einer offenen Ausschüttung wird der Betrag auf der Körperschaftsteuer ausgewiesen, während eine verdeckte Ausschüttung auf Ebene der auss",", die an Personen, die für die Überwachung der Geschäftsführung beauftragt sind, gewährt werden.",0.8069319128990173
CORP-TAX-006,Wie hoch ist der maximal mögliche Verlustabzug in einem Veranlagungsjahr und welche Ausnahmen gibt es?,"75 % des Gesamtbetrages der Einkünfte (§ 8 Abs. 4 Z 2 lit. a KStG). Ausnahmen (volle Verrechnung): u.a. Sanierungsgewinne, Gewinne aus Insolvenzverfahren, Betriebsveräußerungsgewinne, Liquidationsgewinne und Nachversteuerungsbeträge nach § 9 Abs. 6 Z 7 KStG.",§ 8 Abs. 4 Z 2 lit. a–b KStG 1988,"Der maximal mögliche Verlustabzug beträgt 30.000 Euro. 

Es gibt Ausnahmen, wie z.B. Verluste aus der Beteiligung an einer Personengesellschaft, die nicht abgezogen werden können, wenn die Beteiligung weniger als 10% beträgt.",Der maximal mögliche Verlustabzug beträgt 50.000 Euro.,"Anlagevermögen gehörenden Beteiligung steuerwirksam aufgedeckt werden.

(7) Bei der Gewinnabrechnung werden Abschreibungen auf den niedrigeren Teilwert (§ 6 Z 2 lit. a des Einkommensteuergesetzes 1988) und Veräußerungsverluste hinsichtlich von Beteiligungen an Gruppenmitgliedern nicht abzugsfähig.",0.8235012888908386
CORP-TAX-007,Was ist ein Mantelkauf und welche steuerliche Konsequenz hat er?,"Ein Mantelkauf liegt vor, wenn die wirtschaftliche Identität einer Körperschaft durch wesentliche Änderung der Gesellschafter- und Unternehmensstruktur auf entgeltlicher Grundlage verloren geht (§ 8 Abs. 4 Z 2 lit. c KStG). Folge: Verlustabzug steht nicht mehr zu. Ausnahme: Sanierung zur Erhaltung wesentlicher Arbeitsplätze.",§ 8 Abs. 4 Z 2 lit. c KStG 1988,"Ein Mantelkauf ist ein Vertrag, bei dem ein Unternehmen oder eine Person ein Produkt oder eine Dienstleistung kauft, ohne den tatsächlichen Verbrauch oder die tatsächliche Nutzung zu beabsichtigen. Der Kauf wird daher nicht für den eigenen Bedarf, sondern für Weiterverkauf oder Verwendung in der eigenen Geschäftstätigkeit bestimmt.

Die steuerliche Konsequenz eines Mantelkaufs ist, dass der Käufer die Umsatzsteuer für den Kaufbetrag nicht geltend machen kann. Der Verkäufer muss die Umsatzsteuer für den Mantelkauf jedoch selbst geltend machen, wenn er den","Ein Mantelkauf ist ein Kauf von einem anderen Unternehmen, der als Einkaufsteuer steuerfrei gilt. Die Einkaufsteuer beträgt 7 % der Einkaufskosten.","die Einkünfte aus dem Verkauf von Wertpapieren, die Einkünfte aus dem Verkauf von Immobilien, die Einkünfte aus dem Verkauf von Wertgegenständen, die Einkünfte aus dem Verkauf von Wertpapieranteilen, die Einkünfte aus dem Verkauf von Wertgegenständen, die Einkünfte aus dem Verkauf von Wertpapieranteilen, die Einkünfte aus dem Verkauf von Wertgegenständen, die E",0.7622069120407104
CORP-TAX-008,Was gilt bei einem Forderungsverzicht eines Gesellschafters steuerlich für die Körperschaft?,Der werthaltige Teil gilt als Einlage (§ 8 Abs. 1 KStG – außer Ansatz). Der nicht mehr werthaltige Teil ist steuerwirksam und erhöht das Einkommen der Körperschaft.,§ 8 Abs. 1 KStG 1988,Ein Forderungsverzicht eines Gesellschafters gegenüber der Körperschaft ist steuerlich nicht einkommens- und körperschaftsteuerlich relevant.,Für die Körperschaft gilt das Verzicht auf die Forderung als Einkünfte aus Kapitalvermögen.,"fasst hat. 5. Verfahren zur Ermittlung der Abgaben. 1. Ermittlung der Abgaben. (1) Die Abgabenbehörde hat die Abgaben zu ermitteln (§ 115). Soweit nötig, hat sie, tunlichst durch schriftliche Aufforderung, zu veranlassen, dass die Abgabepflichtigen unvollständige Angaben ergänzen und Zweifel beseitigen (Ergänzungsauftrag). (2) Wenn die Ab",0.7935602068901062
CORP-TAX-009,Wie unterscheidet sich die Verlustverrechnung von ausländischen Gruppenmitgliedern von der inländischer Gruppenmitglieder?,"Bei ausländischen Mitgliedern (§ 9 Abs. 6 Z 6 KStG) werden nur die nach österreichischem Recht ermittelten Verluste (max. ausländischer Verlust) zugerechnet, begrenzt auf 75 % des österreichischen Gruppeneinkommens. Bei inländischen Mitgliedern wird das volle Ergebnis zugerechnet (§ 9 Abs. 6 Z 1 KStG).",§ 9 Abs. 6 Z 1 und Z 6 KStG 1988,"Die Verlustverrechnung von ausländischen Gruppenmitgliedern unterscheidet sich von der inländischer Gruppenmitglieder durch die sog. ""Auslandsverlustverrechnung"".

Hierbei können Verluste ausländischer Gruppenmitglieder nur mit Gewinnen ausländischer Gruppenmitglieder verrechnet werden, nicht jedoch mit Gewinnen inländischer Gruppenmitglieder.","Die Verlustverrechnung von ausländischen Gruppenmitgliedern unterscheidet sich von der inländischen Gruppenmitgliederverrechnung in der Ermittlung der Verluste. Die ausländischen Gruppenmitglieder werden nicht als inländische Gruppenmitglieder behandelt, da sie nicht in das Steuer",teil des 1. März 2014 können nur im Ausmaß von 75% der Summe der Einkommen der unbeschränkt steuerpflichtigen Beteiligungsgemeinschaften und des Gruppenträgers berücksichtigt werden.,0.8034881949424744
CORP-TAX-010,Sind Steuerumlagen zwischen Gruppenträgern und Gruppenmitgliedern steuerpflichtig?,Nein. Steuerumlagen zum Ausgleich der Wirkungen aus der Ergebniszurechnung sind gemäß § 9 Abs. 6 Z 5 KStG steuerneutral.,§ 9 Abs. 6 Z 5 KStG 1988,"Ja, Steuerumlagen zwischen Gruppenträgern und Gruppenmitgliedern sind steuerpflichtig.","Nein. Gruppenträger und Gruppenmitglieder sind nicht steuerpflichtig, wenn sie sich nicht auf eine bestimmte Aktivität oder Dienstleistung spezialisiert haben.",öhen den EBITDA -Vorträge.,0.7973445653915405
