"id";"answer"
"CORP-TAX-001";"Die Bemessungsgrundlage ist das Einkommen oder der Gewinn nach den Vorschriften des § 7 KStG (§ 1 Abs. 1 KStG)."
"CORP-TAX-002";"Das kann als steuerbarer Leistungsaustausch qualifiziert werden und zur Einkommenssteuer herangezogen werden (§ 7 Abs. 2 KStG)."
"CORP-TAX-003";"Gruppenmitglieder sind verpflichtet, sämtliche Einkünfte den Einkünften aus Gewerbebetrieb zuzurechnen (§ 9 Abs. 4 KStG)."
"CORP-TAX-004";"Eine Dividende ist als Betriebsertrag steuerpflichtig, sofern die Voraussetzungen erfüllt sind (§ 22 Abs. 2 EStG)."
"CORP-TAX-005";"Eine offene Ausschüttung wird dem Begünstigten steuerbilanziert, während eine verdeckte Ausschüttung steuerneutral ist (§ 10 KStG)."
"CORP-TAX-006";"Der Verlustabzug beträgt grundsätzlich bis zu 2 % des Jahresumsatzes (§ 10 EStG). Für bestimmte Betriebe gelten Sonderregelungen (§ 10 Abs. 3 EStG)."
"CORP-TAX-007";"Ein Mantelkauf liegt bei der Übertragung eines Betriebes vor, wenn die tatsächliche Nutzung und Risikotragung beim Käufer liegt (§ 7 Abs. 2 UStG). Das führt zu einer Steuerpflicht des Käufers (§ 1 Abs. 2 UStG)."
"CORP-TAX-008";"Ein Forderungsverzicht kann steuerlich als Sonderausgaben abgezogen werden, sofern die Voraussetzungen erfüllt sind (§ 18 Abs. 2 Z 2 KStG)."
"CORP-TAX-009";"Bei ausländischen Gruppenmitgliedern ist die Verlustverrechnung nur unter bestimmten Voraussetzungen zulässig (§ 9 Abs. 6 KStG)."
"CORP-TAX-010";"Nein, innergruppentreibende Umsätze sind steuerfrei (§ 6 Abs. 1 Z 19 UStG)."
"CORP-TAX-011";"Ja, solange die Voraussetzungen erfüllt sind, sind Abschreibungen auf den niedrigeren Teilwert abzugsfähig (§ 10 Abs. 3 EStG)."
"CORP-TAX-012";"Die Dividende kann steuerfrei gemäß Artikel 10 Abs. 1 Z 1 UmgrStG behandelt werden (§ 10 UmgrStG)."
"CORP-TAX-013";"§ 10 KStG kann auf Gruppen mit Sitz im EU/AEVR-Raum angewendet werden, § 12 Abs. 1 Z 10 KStG gilt nur für Gruppen mit Sitz im Inland (§ 12 Abs. 2 KStG)."
"CORP-TAX-014";"Für eine internationale Schachtelbeteiligung müssen mindestens 10 % des Grundkapitals oder Stimmrechts an einem ausländischen Körperschaftsverband gehalten werden (§ 10 Abs. 2 KStG)."
"CORP-TAX-015";"Veräußerungsgewinne können unter bestimmten Voraussetzungen steuerfrei sein (§ 10 Abs. 1 KStG)."
"CORP-TAX-016";"Nein, da die Beteiligung nicht unternehmerisch genutzt wird, ist der Zinsausgabenpauschbetrag nicht abzugsfähig (§ 18 Abs. 3 Z 2 EStG)."
"CORP-TAX-017";"§ 11 KStG regelt den allgemeinen Betriebsausgabenabzug, während § 12 KStG bestimmte Sonderausgaben wie Versicherungsprämien betrachtet (§ 11 KStG gegenüber § 12 KStG: allgemeiner gegenüber speziellem Regelungsinhalt;"
"CORP-TAX-018";"Freiwillige Spenden an begünstigte Organisationen sind grundsätzlich als Sonderausgaben abzugsfähig (§ 18 Abs. 1 Z 7 EStG)."
"CORP-TAX-019";"### (a) EU-Geldbußen zählen nicht zum begünstigten Bereich der Sonderausgaben (§ 18 Abs. 1 Z 1 EStG). ### (b) Spenden an begünstigte Empfänger sind bis zu einem gesetzlich festgelegten Höchstbetrag abzugsfähig (§ 18 Abs. 1 Z 3 EStG). ### (c) Aufsichtsratsvergütungen sind grundsätzlich nicht abzugsfähig (§ 18 Abs. 2 EStG). ### (d) Lizenzgebühren an konzernzugehörige Gesellschaften sind nur bis zu einem bestimm"
"CORP-TAX-020";"Lizenzgebühren sind nicht abzugsfähig, wenn die Nutzung dem steuerpflichtigen Unternehmen im Wesentlichen dient (§ 12 Abs. 2 KStG)."
"CORP-TAX-021";"Der Gewinn ergibt sich nach den Vorschriften des § 7 EStG (§ 7 Abs. 2 KStG)."
"CORP-TAX-022";"Die Gruppenzugehörigkeit setzt u. a. eine qualifizierte Beteiligung voraus (§ 7 KStG)."
"CORP-TAX-023";"Bei positiven Jahren ist die Körperschaftsteuerpflicht grundsätzlich gegeben (§ 7 KStG)."
"CORP-TAX-024";"Der Gewinn ergibt sich regelmäßig jährlich aus dem Gesamtergebnis der Körperschaft (§ 8 Abs. 1 KStG). Eine andere Bemessungsgrundlage kann unter bestimmten Voraussetzungen zugelassen werden (§ 8 Abs. 3 KStG)."
"CORP-TAX-025";"Einlagen und Beiträge zählen zum steuerpflichtigen Einkommen der Körperschaft (§ 8 Abs. 1 KStG)."
"CORP-TAX-026";"Der Verlustabzug ist unbeschränkt, wenn die Einkünfte des Vorjahres positiv sind (§ 8 Abs. 4 Z 2 lit. b KStG)."
"CORP-TAX-027";"Eine finanzielle Verbindung liegt bei einer Beteiligung von mehr als 50 % der Stimmrechte und des Kapitals vor (§ 9 KStG)."
"CORP-TAX-028";"Die finanzielle Verbindung muss mindestens sechs Monate lang bestehen (§ 9 Abs. 4 KStG)."
"CORP-TAX-029";"Nein, das ist nur bei Gruppen mit steuerlicher Einbeziehung zulässig (§ 9 Abs. 6 KStG)."
"CORP-TAX-030";"Für die Gruppenzugehörigkeit ist eine ausreichende Beteiligung erforderlich (§ 9 Abs. 4 KStG)."
"CORP-TAX-031";"Vorgruppenverluste sind Verluste von Gruppenmitgliedern vor dem Gruppenzuschluss, die dem Gruppenträger zugerechnet werden (§ 9 Abs. 4 KStG)."
"CORP-TAX-032";"Bei einem ausländischen Gruppenmitglied kann die Verlustverrechnung nur bis zur Höhe des Einkommens erfolgen (§ 10 Abs. 2 KStG)."
"CORP-TAX-033";"Nein, die Einjahresfrist gilt nur für Beteiligungen an Körperschaften mit Sitz oder Geschäftsleitung im Inland (§ 10 Abs. 2 KStG)."
"CORP-TAX-034";"Die Bewertung richtet sich nach den Vorschriften des Bewertungsgesetzes (§ 7 Abs. 7 KStG)."
"CORP-TAX-035";"Ja, die Beteiligung erfüllt die formellen Voraussetzungen (§ 10 Abs. 1 KStG). Die Dividende ist steuerfrei, wenn die gesetzlichen Voraussetzungen erfüllt sind (§ 10 Abs. 1 KStG)."
"CORP-TAX-036";"Die Option kann zur Steuerwirksamkeit führen, wenn die gesetzlichen Voraussetzungen erfüllt sind (§ 13 Abs. 3 UmgrStG)."
"CORP-TAX-037";"Gewinnanteile sind steuerpflichtig, wenn die ausländische Körperschaft mindestens ein Betriebstätte- oder Stammkapitalfortbewirtschaftungsverhältnis hat (§ 10 Abs. 2 KStG)."
"CORP-TAX-038";"Körperschaftsspezifische Aufwendungen sind insbesondere Verwaltungskosten und Kosten für Repräsentationszwecke (§ 11 KStG)."
"CORP-TAX-039";"Bestimmte Steuern wie Körperschaftsteuer und Stempelgebühren sind nicht als Betriebsausgaben abzugsfähig (§ 12 KStG)."
"CORP-TAX-040";"Zinsen sind nur abzugsfähig, wenn die Beteiligung nicht ausschließlich unternehmerisch genutzt wird (§ 10 EStG)."
"CORP-TAX-041";"Der Gewinn wird grundsätzlich im Jahr der Bilanzierung festgestellt (§ 7 Abs. 2 KStG)."
"CORP-TAX-042";"Das Einkommen ergibt sich aus dem Gesamtbetrag der Einkünfte nach Abzug von Sonderausgaben und Verlusten (§ 7 Abs. 2 KStG). Beteiligungserträge und Einnahmen aus bestimmten sonstigen Einkünften unterliegen einer gesetzlichen Vorauszahlung (§ 24 Abs. 4 KStG)."
"CORP-TAX-043";"Die §§ 7–12 KStG regeln die Ermittlung des steuerpflichtigen Einkommens bei rechnungslegungspflichtigen Körperschaften (§ 7 KStG)."
"CORP-TAX-044";"Die Art der Einkommensverwendung kann die Bewertung des Einkommens beeinflussen (§ 7 Abs. 2 EStG)."
"CORP-TAX-045";"Ja, da sie eine Körperschaft mit Einkünften ist, gelten die allgemeinen Vorschriften über Verlustverrechnung (§ 10 Abs. 2 EStG)."
"CORP-TAX-046";"Ein Mantelkauf ist die Übertragung eines Betriebes oder Mitunternehmeranteils gegen Zahlung eines Betrages (§ 8 KStG). Der Verlustvortrag kann bei Ausscheiden aus einer Gruppe nur bis zu einem bestimmten Wert fortgeführt werden (§ 9 KStG)."
