id,answer
CORP-TAX-001,"an Personenvereinigungen, die nicht mit der Überwachung der Geschäftsführung beauftragt sind, für diese Funktion gewährt werden."
CORP-TAX-002,äge abzugsfrei.
CORP-TAX-003,"kann die Anforderungen der Körperschaftsteuererhebung nach § 1 Abs. 1 bis 3 des Einkommensteuergesetzes erfüllen, wenn die Körperschaftsteuererhebung auf die von der Körperschaft abgewanderte Leistung oder Leistungsbereich nicht erheblich ist."
CORP-TAX-004,"Leistungen, die regelmäßig mit dem Betrieb eines Museums verbunden sind, c)die Leistungen, die regelmäßig mit dem Betrieb eines Krankenhauses verbunden sind, d)die Leistungen, die regelmäßig mit dem Betrieb eines Krankenhauses verbunden sind, e)die Leistungen, die regelmäßig mit dem Betrieb eines Krankenhauses verbunden sind, f)die Leistungen, die regelmäßig mit dem Betrieb eines Krankenhauses verbunden sind, g)die Le"
CORP-TAX-005,", die an Personen, die für die Überwachung der Geschäftsführung beauftragt sind, gewährt werden."
CORP-TAX-006,"Anlagevermögen gehörenden Beteiligung steuerwirksam aufgedeckt werden.

(7) Bei der Gewinnabrechnung werden Abschreibungen auf den niedrigeren Teilwert (§ 6 Z 2 lit. a des Einkommensteuergesetzes 1988) und Veräußerungsverluste hinsichtlich von Beteiligungen an Gruppenmitgliedern nicht abzugsfähig."
CORP-TAX-007,"die Einkünfte aus dem Verkauf von Wertpapieren, die Einkünfte aus dem Verkauf von Immobilien, die Einkünfte aus dem Verkauf von Wertgegenständen, die Einkünfte aus dem Verkauf von Wertpapieranteilen, die Einkünfte aus dem Verkauf von Wertgegenständen, die Einkünfte aus dem Verkauf von Wertpapieranteilen, die Einkünfte aus dem Verkauf von Wertgegenständen, die E"
CORP-TAX-008,"fasst hat. 5. Verfahren zur Ermittlung der Abgaben. 1. Ermittlung der Abgaben. (1) Die Abgabenbehörde hat die Abgaben zu ermitteln (§ 115). Soweit nötig, hat sie, tunlichst durch schriftliche Aufforderung, zu veranlassen, dass die Abgabepflichtigen unvollständige Angaben ergänzen und Zweifel beseitigen (Ergänzungsauftrag). (2) Wenn die Ab"
CORP-TAX-009,teil des 1. März 2014 können nur im Ausmaß von 75% der Summe der Einkommen der unbeschränkt steuerpflichtigen Beteiligungsgemeinschaften und des Gruppenträgers berücksichtigt werden.
CORP-TAX-010,öhen den EBITDA -Vorträge.
CORP-TAX-011,ähnlichen Aktivität (§ 8 Abs. 4 Z 1) werden nicht als Änderung der Voraussetzungen für Gruppenverhältnisse angesehen.
CORP-TAX-012,"esetz 1988 festgelegten Voraussetzungen erfüllen, 3. an ausländischen Körperschaften, die die in der Anlage 2 zum Einkommensteuergesetz 1988 festgelegten Voraussetzungen erfüllen und die im Einkommensteuergesetz 1988 festgelegten Voraussetzungen erfüllen, 4. an ausländischen Körperschaften, die die in der Anlage 2 zum Einkommen"
CORP-TAX-013,"staat oder in einem anderen Staat ansässig ist, eine in einem anderen Vertragsstaat ansässige Nutzungsberechtigte ist, ist die Lizenzgebühren nicht anzuwenden."
CORP-TAX-014,"ommen haben und die Verarbeitung personenbezogener Daten nicht gegen die Verordnung über die allgemeine Datenschutzverwaltung (DSGVO) (BGB III, § 1) verstoßen."
CORP-TAX-015,ilig) erworbenen Aktien. 2. Die Hinzurechnung erfolgt nach der Höhe der von der jeweiligen beherrschenden Körperschaft unmittelbar und mittelbar (anteilig) erworbenen Aktien. 3. Die Hinzurechnung erfolgt nach der Höhe der von der jeweiligen beherrschenden Körperschaft unmittelbar und mittelbar (anteilig) erworbenen Aktien. 4. Die Hinzurechnung erfolgt nach der Höhe der von
CORP-TAX-016,"unmittelbar oder mittelbar in einem anderen Verwaltungsbezirk des Landes. c)Die empfangende Körperschaft ist in einem anderen Verwaltungsbezirk des Landes als die Körperschaft, an der die Beteiligung besteht, tätig."
CORP-TAX-017,"recht konsolidiert, Fassung vom 06.04.2026 Page 83 of 140https://www.ris.bka.gv.at/GeltendeFassung.wxe?Abfrage=Bundesnormen&Gesetzesnummer=10003940&ShowPrintPreview=True § 206. § 207. 2 im Zusammenhang mit 4/6/26, 7:36 PMRIS - Bundesabgabenordnung - Bundesrecht konsolidiert, Fassung vom 06.04.2026 Page 84"
CORP-TAX-018,Abs. 1 Satz 1 wird durch § 40a Abs. 2 des EStG 1988 abgeschafft.
CORP-TAX-019,"genswerte zu besteuern, die nach diesem Abkommen in der Republik Österreich besteuert werden dürfen. b) Die Einkünfte aus dem Verkauf von Vermögenswerten, die nach diesem Abkommen in der Republik Österreich besteuert werden dürfen, werden nicht unter Buchstabe b fallen. c) Die Einkünfte aus dem Verkauf von Vermögenswerten, die nach diesem Abkommen in der Republik Österreich besteuert werden dürfen, werden nicht unter Buchstabe b fallen. d)"
CORP-TAX-020,als 50 % der Gesamtzahl der von der Körperschaft erwirtschafteten Gewinne oder Gewinne aus der Veräußerung von Vermögen bezieht.
CORP-TAX-021,"seinen Namen und seine Steuer- oder Sozialversicherungsnummer, die übertragenen Wirtschaftsgüter, deren Anschaffungskosten und gegebenenfalls jene Stelle mitzuteilen, auf die die Übertragung erfolgt, darf der Steuerpflichtige die depotführende Stelle beauftragt, dem zuständigen Finanzamt innerhalb eines Monats seinen Namen und seine Steuer- oder Sozialversicherungsnummer, die übertragenen Wirtschaftsgüter, deren Anschaffungskosten"
CORP-TAX-022,"eteiligungsgesellschaften, Gesellschaft mit beschränkter Trägerschaft, Gesellschaft mit offener Trägerschaft, Gesellschaft mit beschränkter Trägerschaft und Gesellschaft mit offener Trägerschaft) bezeichnet werden, sind die Fünfzehntelbeträge abgesetzt."
CORP-TAX-023,"stellungsklage nicht möglich ist, wird die steuerliche Verwertung nach § 2a Absatz 3 des deutschen Einkommensteuergesetzes nicht vorgenommen."
CORP-TAX-024,hebung oder zwangsweise Einbringung einer Abgabe wegen der Nichterfüllung der Anforderungen nach § 209a Abs. 1 oder 2 ist verhoben; oder c)die Einhebung oder zwangsweise Einbringung einer Abgabe wegen der Nichterfüllung der Anforderungen nach § 209a Abs. 1 oder 2 ist vorübergehend auf Antrag des Steuerpflichtigen aufgehoben; d) die Einhebung oder zwangsweise Einbringung einer Abgabe wegen der Nichter
CORP-TAX-025,"lich abzugsfähig ist, soweit er nicht mit dem Leistungsempfänger in Verbindung steht, soweit er nicht mit dem Leistungsempfänger in Verbindung steht, soweit er nicht mit dem Leistungsempfänger in Verbindung steht, soweit er nicht mit dem Leistungsempfänger in Verbindung steht, soweit er nicht mit dem Leistungsempfänger in Verbindung steht, soweit er nicht mit dem Leistungsempfänger in Verbindung steht, soweit"
CORP-TAX-026,"nehmensgruppe, so kann die Zurechnung des Verlustes auf die Unternehmensgruppe beschränkt werden."
CORP-TAX-027,elter Abgaben.
CORP-TAX-028,"amm- oder Genossenschaftskapitals und der Stimmrechte der Beteiligungskörperschaft besitzt, oder – auf die Zurechnung des Verlustes eines nicht unbeschränkt steuerpflichtigen ausländischen Gruppenmitglieds verzichtet werden kann."
CORP-TAX-029,teil des 1. März 2014 können nur im Ausmaß von 75% der Summe der Einkommen der unbeschränkt steuerpflichtigen Beteiligungsgemeinschaften und des Gruppenträgers berücksichtigt werden.
CORP-TAX-030,einem bestimmten Zeitpunkt nach dem 31. Dezember des Vorjahrsschülers des Vorjahrsschülers des Vorjahres des Folgejahres 1. Jahrzehnder des Vorjahres des Folgejahres des Folgejahres des Folgejahres des Folgejahres des Folgejahres des Folgejahres des Folgejahres des Folgejahres des Folgejahres des Folgejahres des Folgejahres des Folgejahres des Folgejahres des Folgejahres des Fol
CORP-TAX-031,teil des 1. März 2014 können nur im Ausmaß von 75% der Summe der Einkommen der unbeschränkt steuerpflichtigen Beteiligungsgemeinschaften und des Gruppenträgers berücksichtigt werden.
CORP-TAX-032,12a Abs. 1) nicht berücksichtigt wird.
CORP-TAX-033,"Bewertungskriterien wie im Konzernabschluss zu erfolgen. 4. Die Bewertung des Eigenkapitalquoten ist auf Verlangen der Abgabenbehörde durch einen Wirtschaftsprüfer zu bestätigen. 5. Die Bewertung des Eigenkapitalquoten kann auch durch die Verwendung von Verträgen oder anderen Verfahren erfolgen, die die Bewertungskriterien erfüllen. 6. Die Bewertung des Eigenkapitalquoten kann auch durch die Verwendung von Verträgen oder anderen Verfahren erfol"
CORP-TAX-034,"denen die Beteiligung nicht unter Z 7 fällt, kann die Beteiligung nicht unter Z 7 fällt."
CORP-TAX-035,"ige Gesellschaft gezahlt werden. b) Die Bemessungsgrundlage für die Steuer wird die Bemessungsgrundlage für die Besteuerung in der Republik Österreich erweitert, so dass die Einkünfte aus der Republik Österreich und die in der Republik Österreich gelegenen Vermögenswerte, die nach diesem Abkommen in der Republik Österreich besteuert werden dürfen, nicht unter Buchstabe b fallen. c) Die Bemessungsgrundlage für die Besteuerung wird die Bemessungs"
CORP-TAX-036,bar inländische Körperschaft ist die Option nicht weder erfüllt noch ausgeschlossen.
CORP-TAX-037,"kann die ausländische Körperschaft die Einkünfte aus dem Ausland nach § 5 Abs. 1 des Einkommensteuergesetzes 1988, den übrigen Vorschriften des Einkommensteuergesetzes 1988 sowie dieses Bundesgesetzes zu ermitteln, sofern sie nicht bereits in einem anderen Ausland tatsächlich enthalten sind. (5) Die Einkünfte werden nach § 5 Abs. 1 des Einkommensteuergesetzes"
CORP-TAX-038,oweit sie nicht auf Verbrauchsteuern bezogen sind.
