id,prompt,baseline_answer,correct_answer,sources
CORP-TAX-001,Was ist die steuerliche Bemessungsgrundlage für die Körperschaftsteuer?,Die steuerliche Bemessungsgrundlage für die Körperschaftsteuer ist der Körperschaftssteuerbetrag.,"Das Einkommen, das der unbeschränkt Steuerpflichtige innerhalb eines Kalenderjahres bezogen hat (§ 7 Abs. 1 KStG).",§ 7 Abs. 1 KStG 1988
CORP-TAX-002,"Welche steuerlichen Konsequenzen hat es, wenn eine Körperschaft ein zinsloses Darlehen an ihren Gesellschafter vergibt?",Das zinslose Darlehen an den Gesellschafter führt zu einer Gewinnausgleichssteuer (GAS) von 4% auf den Nettobetrag des Darlehens.,Die nicht verrechneten Zinsen stellen eine verdeckte Ausschüttung dar (§ 8 Abs. 2 KStG) – das Einkommen wird um die fremdüblichen Zinsen erhöht. Grundlage der Einkommensermittlung ist § 7 Abs. 2/3 KStG. § 12 Abs. 1 Z 2 KStG kann zusätzlich greifen bei unangemessen hohen Gesellschaftervorteilen.,§ 7 Abs. 2/3 KStG 1988; § 8 Abs. 2 KStG 1988; § 12 Abs. 1 Z 2 KStG 1988
CORP-TAX-003,"Welche Körperschaften sind verpflichtet, sämtliche Einkünfte den Einkünften aus Gewerbebetrieb zuzurechnen?","Körperschaften, die verpflichtet sind, sämtliche Einkünfte den Einkünften aus Gewerbebetrieb zuzurechnen, sind:

- Körperschaften, die nach § 2 Abs. 1 UGB (Unternehmensgesetzbuch) als Unternehmer gelten
- Körperschaften, die nach § 2 Abs. 2 UGB als Unternehmer gelten, weil sie Gewerbebetrieb führen
- Körperschaften, die nach § 2 Abs. 3 UGB als Unternehmer gelten, weil sie Gewerbebetrieb führen und keine Einkünfte aus Land- und","Steuerpflichtige, die aufgrund ihrer Rechtsform nach unternehmensrechtlichen Vorschriften zur Rechnungslegung verpflichtet sind, rechnungslegungspflichtige Erwerbs- und Wirtschaftsgenossenschaften sowie vergleichbare ausländische Körperschaften (§ 7 Abs. 3 KStG).",§ 7 Abs. 3 KStG 1988
CORP-TAX-004,Wie wird eine Dividende einer österreichischen Tochtergesellschaft (a) bei der Tochter und (b) bei der österreichischen Muttergesellschaft steuerlich behandelt?,"(a) Bei der Tochtergesellschaft wird die Dividende als Einkommen aus Kapitalvermögen behandelt und unterliegt der Körperschaftsteuer. Die Tochtergesellschaft muss also die Dividende als Einkommen aus Kapitalvermögen versteuern.

(b) Bei der österreichischen Muttergesellschaft wird die Dividende als Einkommen aus Kapitalvermögen behandelt und unterliegt der Körperschaftsteuer. Die Muttergesellschaft muss also die Dividende als Einkommen aus Kapitalvermögen versteuern.",(a) Tochter: Die Ausschüttung ist Einkommensverwendung und beeinflusst das steuerpflichtige Einkommen der Tochter nicht (§ 8 Abs. 2 KStG). (b) Mutter: Die Dividende ist als Beteiligungsertrag steuerfrei – ohne Mindestquote oder Haltefrist (§ 10 Abs. 1 Z 1 KStG).,§ 8 Abs. 2 KStG 1988; § 10 Abs. 1 Z 1 KStG 1988
CORP-TAX-005,Was unterscheidet die steuerliche Behandlung einer offenen von einer verdeckten Ausschüttung auf Ebene der ausschüttenden Körperschaft?,"Eine offene Ausschüttung ist eine direkte Zahlung an Gesellschafter, z.B. als Dividende. Hierbei wird die Gewinnverteilung transparent durchgeführt.

Eine verdeckte Ausschüttung hingegen ist eine Zahlung, die nicht direkt an Gesellschafter erfolgt, sondern in Form von Leistungen, wie z.B. Miete, Lohn oder Provisionen, an Gesellschafter oder deren Familienmitglieder. Diese Zahlungen werden nicht als Gewinnverteilung, sondern als Geschäftsleistung behandelt.

Die steuerliche Behandlung unterscheidet sich insofern, als offene Ausschüttungen ste","Im Ergebnis unterscheiden sie sich nicht. Beide sind Einkommensverwendung nach § 8 Abs. 2 KStG. Bei verdeckten Ausschüttungen werden die nicht fremdüblichen Aufwendungen dem Einkommen hinzugerechnet, da keine betriebliche Veranlassung vorliegt.",§ 8 Abs. 2 KStG 1988 
CORP-TAX-006,Wie hoch ist der maximal mögliche Verlustabzug in einem Veranlagungsjahr und welche Ausnahmen gibt es?,"Der maximal mögliche Verlustabzug beträgt 30.000 Euro. 

Es gibt Ausnahmen, wie z.B. Verluste aus der Beteiligung an einer Personengesellschaft, die nicht abgezogen werden können, wenn die Beteiligung weniger als 10% beträgt.","75 % des Gesamtbetrages der Einkünfte (§ 8 Abs. 4 Z 2 lit. a KStG). Ausnahmen (volle Verrechnung): u.a. Sanierungsgewinne, Gewinne aus Insolvenzverfahren, Betriebsveräußerungsgewinne, Liquidationsgewinne und Nachversteuerungsbeträge nach § 9 Abs. 6 Z 7 KStG.",§ 8 Abs. 4 Z 2 lit. a–b KStG 1988
CORP-TAX-007,Was ist ein Mantelkauf und welche steuerliche Konsequenz hat er?,"Ein Mantelkauf ist ein Vertrag, bei dem ein Unternehmen oder eine Person ein Produkt oder eine Dienstleistung kauft, ohne den tatsächlichen Verbrauch oder die tatsächliche Nutzung zu beabsichtigen. Der Kauf wird daher nicht für den eigenen Bedarf, sondern für Weiterverkauf oder Verwendung in der eigenen Geschäftstätigkeit bestimmt.

Die steuerliche Konsequenz eines Mantelkaufs ist, dass der Käufer die Umsatzsteuer für den Kaufbetrag nicht geltend machen kann. Der Verkäufer muss die Umsatzsteuer für den Mantelkauf jedoch selbst geltend machen, wenn er den","Ein Mantelkauf liegt vor, wenn die wirtschaftliche Identität einer Körperschaft durch wesentliche Änderung der Gesellschafter- und Unternehmensstruktur auf entgeltlicher Grundlage verloren geht (§ 8 Abs. 4 Z 2 lit. c KStG). Folge: Verlustabzug steht nicht mehr zu. Ausnahme: Sanierung zur Erhaltung wesentlicher Arbeitsplätze.",§ 8 Abs. 4 Z 2 lit. c KStG 1988
CORP-TAX-008,Was gilt bei einem Forderungsverzicht eines Gesellschafters steuerlich für die Körperschaft?,Ein Forderungsverzicht eines Gesellschafters gegenüber der Körperschaft ist steuerlich nicht einkommens- und körperschaftsteuerlich relevant.,Der werthaltige Teil gilt als Einlage (§ 8 Abs. 1 KStG – außer Ansatz). Der nicht mehr werthaltige Teil ist steuerwirksam und erhöht das Einkommen der Körperschaft.,§ 8 Abs. 1 KStG 1988
CORP-TAX-009,Wie unterscheidet sich die Verlustverrechnung von ausländischen Gruppenmitgliedern von der inländischer Gruppenmitglieder?,"Die Verlustverrechnung von ausländischen Gruppenmitgliedern unterscheidet sich von der inländischer Gruppenmitglieder durch die sog. ""Auslandsverlustverrechnung"".

Hierbei können Verluste ausländischer Gruppenmitglieder nur mit Gewinnen ausländischer Gruppenmitglieder verrechnet werden, nicht jedoch mit Gewinnen inländischer Gruppenmitglieder.","Bei ausländischen Mitgliedern (§ 9 Abs. 6 Z 6 KStG) werden nur die nach österreichischem Recht ermittelten Verluste (max. ausländischer Verlust) zugerechnet, begrenzt auf 75 % des österreichischen Gruppeneinkommens. Bei inländischen Mitgliedern wird das volle Ergebnis zugerechnet (§ 9 Abs. 6 Z 1 KStG).",§ 9 Abs. 6 Z 1 und Z 6 KStG 1988
CORP-TAX-010,Sind Steuerumlagen zwischen Gruppenträgern und Gruppenmitgliedern steuerpflichtig?,"Ja, Steuerumlagen zwischen Gruppenträgern und Gruppenmitgliedern sind steuerpflichtig.",Nein. Steuerumlagen zum Ausgleich der Wirkungen aus der Ergebniszurechnung sind gemäß § 9 Abs. 6 Z 5 KStG steuerneutral.,§ 9 Abs. 6 Z 5 KStG 1988
