task_id,row_key,prompt,answer,reference_answer,sources,correctness_score,groundedness_score,legal_reasoning_score,completeness_score,comprehension_score,hallucination_flag,grounding_citations,comments
1,58f7ba556eb8de76,Jemand erbringt Leistungen ausschließlich innerhalb der Familie ohne jedes Auftreten nach außen. Fehlt damit die Beteiligung am allgemeinen wirtschaftlichen Verkehr?,"Ja, wenn jemand Leistungen ausschließlich innerhalb der Familie erbringt und diese Leistungen nicht nach außen treten, fehlt in der Regel die Beteiligung am allgemeinen wirtschaftlichen Verkehr.

**Begründung:**

Im deutschen Steuer- und Wirtschaftsrecht ist die Beteiligung am allgemeinen wirtschaftlichen Verkehr eine wichtige Voraussetzung, um bestimmte Rechtsfolgen auszulösen, etwa im Umsatzsteuerrecht oder bei der Gewerbesteuer. Der allgemeine wirtschaftliche Verkehr setzt voraus, dass Leistungen oder Tätigkeiten nach außen gerichtet sind, also gegenüber Dritten erbracht werden oder zumindest potenziell Dritten angeboten werden.

Wenn Leistungen ausschließlich innerhalb der Familie erbracht werden und kein Auftreten nach außen erfolgt, handelt es sich meist um eine rein private, nichtwirtschaftliche Tätigkeit. Diese ist nicht am allgemeinen wirtschaftlichen Verkehr beteiligt, da kein Austausch mit dem Markt oder der Öffentlichkeit stattfindet.

**Praxisbeispiel:**

- Ein Elternteil betreut die eigenen Kinder oder pflegt einen Angehörigen ohne Vergütung und ohne Angebot an Dritte.
- Ein Familienmitglied repariert kostenlos das Fahrrad eines anderen Familienmitglieds.

In solchen Fällen liegt keine Teilnahme am allgemeinen wirtschaftlichen Verkehr vor.

**Fazit:**

Leistungen, die ausschließlich innerhalb der Familie erbracht werden und","Ja. § 23 Z 1 setzt Beteiligung am allgemeinen wirtschaftlichen Verkehr voraus, eine rein familieninterne Tätigkeit ohne Angebot an einen unbestimmten Personenkreis erfüllt dieses Tatbestandsmerkmal nicht.",§ 23 EStG 1988,3.0,1.0,2.0,3.0,4.0,1.0,"""Einkünfte aus einer selbständigen, nachhaltigen Betätigung, die mit Gewinnabsicht unternommen wird und sich als Beteiligung am allgemeinen wirtschaftlichen Verkehr darstellt, wenn die Betätigung weder als Ausübung der Land- und Forstwirtschaft noch als selbständige Arbeit anzusehen ist."" (§ 23 Z 1 EStG 1988)","Correct conclusion (yes, family services without market participation do not qualify). However, the answer incorrectly refers to ""deutsches Steuer- und Wirtschaftsrecht"" and ""Gewerbesteuer"" – neither applies in Austria (Gewerbesteuer was abolished in 1994). This is a hallucinated German-law framing. The correct Austrian provision (§ 23 Z 1 EStG 1988) is not cited."
2,5a3c68a5df58b6c2,"""An welchem Ort ist eine Vermittlungsleistung an einen Nichtunternehmer erbracht?""","Eine Vermittlungsleistung an einen Nichtunternehmer erbracht an dem Ort, an dem die Vermittlung stattfindet.","""Eine Vermittlungsleistung an einen Nichtunternehmer im Sinne des Abs. 5 Z 3 wird an dem Ort erbracht, an dem der vermittelte Umsatz ausgeführt wird.""",§ 3a Abs. 8 UStG 1994,1.0,0.0,1.0,1.0,4.0,0.0,"""Eine Vermittlungsleistung an einen Nichtunternehmer im Sinne des Abs. 5 Z 3 wird an dem Ort erbracht, an dem der vermittelte Umsatz ausgeführt wird."" (§ 3a Abs. 8 UStG 1994)","The answer states the place where the mediation physically takes place. However, § 3a Abs. 8 UStG 1994 requires the place where the mediated transaction is actually carried out – these two locations can differ. No legal citation was provided in the answer."
3,5a8d772ba442d6cf,Ein österreichischer Steuerinländer gibt seinen inländischen Wohnsitz auf und verlegt den Mittelpunkt seiner Lebensinteressen ins Ausland. Kann die Aufgabe des inländischen Wohnsitzes Wegzugsbesteuerung auslösen?,"Ja, die Aufgabe des inländischen Wohnsitzes kann Wegzugsbesteuerung auslösen. Gemäß § 27 Abs. 1 EStG 1988 wird bei einem unbeschränkt steuerpflichtigen Steuerinländer, der seinen Wohnsitz oder seinen gewöhnlichen Aufenthalt im Inland aufgibt, der Steuerpflichtige so behandelt, als ob er seine gesamten inländischen Vermögenswerte zu dem Zeitpunkt, in dem er seinen Wohnsitz oder gewöhnlichen Aufenthalt im Inland aufgibt, veräußert hätte.

Dies gilt jedoch nur, wenn der Steuerpflichtige seinen Mittelpunkt der Lebensinteressen ins Ausland verlegt. Der Mittelpunkt der Lebensinteressen bestimmt sich nach § 26 Abs. 1 BAO und umfasst die persönlichen und wirtschaftlichen Beziehungen des Steuerpflichtigen.

Die Wegzugsbesteuerung ist in § 27 EStG 1988 geregelt und dient dazu, die Steuerpflicht für die im Inland erzielten Einkünfte und das im Inland vorhandene Vermögen abzuschließen, wenn der Steuerpflichtige seinen Wohnsitz oder gewöhnlichen Aufenthalt ins Ausland verlegt.","Ja. Die Aufgabe des inländischen Wohnsitzes löst gemäß § 27 Abs. 6 Z 1 lit. a EStG 1988 Wegzugsbesteuerung aus, wenn dadurch abkommensrechtlich eine Einschränkung des österreichischen Besteuerungsrechts bewirkt wird.","§ 27, Abs. 6 Z 1 lit. a EStG 1988;EStR 2000 Rz 26",3.0,2.0,3.0,3.0,3.0,0.0,"""Als Veräußerung im Sinne der Abs. 3 und 4 gelten auch: 1. Umstände, die zu einer Einschränkung des Besteuerungsrechtes der Republik Österreich im Verhältnis zu anderen Staaten hinsichtlich eines Wirtschaftsgutes im Sinne des Abs. 3, eines Derivates im Sinne des Abs. 4 oder einer Kryptowährung im Sinne des Abs. 4a führen. a) Bei Wegzug einer natürlichen Person in einen EU/EWR-Staat ist auf Antrag über die dadurch entstandene Abgabenschuld im Abgabenbescheid nur abzusprechen, die Abgabenschuld jedoch bis zur tatsächlichen Veräußerung des Wirtschaftsgutes oder Derivates nicht festzusetzen."" (§ 27 Abs. 6 Z 1 und lit. a EStG 1988)","Correct conclusion (yes, exit tax can apply). However, the answer cites § 27 Abs. 1 EStG instead of the specific § 27 Abs. 6 Z 1 lit. a. It also misses the critical condition: exit tax only triggers when Austrian taxation rights are specifically restricted (""Einschränkung des Besteuerungsrechtes""), and the link to DBA consequences is not explained."
4,5ad41bb8b284f360,"Eine Tätigkeit ist selbständig, nachhaltig, gewinnorientiert und am Markt angeboten. Ist die Tätigkeit dadurch automatisch ein Gewerbebetrieb nach § 23 Z 1?","Nein, die Tätigkeit ist nicht automatisch ein Gewerbebetrieb nach § 23 Z 1, da Gewerbebetriebe in der Regel durch den Betrieb von Unternehmen mit mehreren Personen oder mehreren Geschäftsführern bestimmt sind.","Nein. § 23 Z 1 schließt ausdrücklich Land- und Forstwirtschaft sowie selbständige Arbeit aus, nur wenn die Tätigkeit unter keine dieser Einkunftsarten fällt greift § 23.",§ 23 EStG 1988,2.0,0.0,1.0,1.0,3.0,0.0,"""Einkünfte aus einer selbständigen, nachhaltigen Betätigung, die mit Gewinnabsicht unternommen wird und sich als Beteiligung am allgemeinen wirtschaftlichen Verkehr darstellt, wenn die Betätigung weder als Ausübung der Land- und Forstwirtschaft (§ 21) noch als selbständige Arbeit (§ 22) anzusehen ist."" (§ 23 Z 1 EStG 1988)","The ""no"" conclusion is correct, but the reasoning is wrong. The answer claims Gewerbebetrieb requires multiple persons or multiple managers – this has no basis in § 23 Z 1 EStG. The actual limiting criteria are the exclusions of Land- und Forstwirtschaft (§ 21) and selbständige Arbeit (§ 22). No legal citation was provided."
5,5b50d618694b7d0e,Was regelt das Gemeinnützigkeitsreformgesetz 2023 hinsichtlich Spenden?,"Das Gemeinnützigkeitsreformgesetz 2023 regelt hinsichtlich Spenden, dass die Spende eines Spenders, die nach dem 1. Jänner 2024 erfolgt, nur dann als Spende anerkannt wird, wenn der Spender im Zusammenhang mit der Spende eine Spendeneinwilligung in Form einer schriftlichen Erklärung vorlegt. Diese Regelung trifft gemäß § 2 Absatz 1 des Gesetzes zum Gemeinnützigen Recht (GemeinnützG) ab dem 1. Jänner 2024 zu Anwendung.",Es erweitert den Kreis der spendenbegünstigten Einrichtungen erheblich (z.B. auf Bildung).,EStG § 4a,0.0,0.0,0.0,0.0,3.0,1.0,"""Steuerlich abzugsfähige Spenden können an begünstigte Einrichtungen im Sinne des § 4a EStG 1988 geleistet werden; das Gemeinnützigkeitsreformgesetz 2023 hat den Kreis der begünstigten Einrichtungen wesentlich erweitert (z.B. auf Einrichtungen im Bereich Bildung, Wissenschaft, Forschung)."" (§ 4a EStG 1988, i.d.F. Gemeinnützigkeitsreformgesetz 2023)","The answer fabricates a written consent requirement (Spendeneinwilligung) that does not exist anywhere in Austrian law. The 2023 reform expanded the circle of eligible donation recipients (e.g. to include education and science organisations) – it did not introduce consent forms. The answer also cites a non-existent ""GemeinnützG"" with an invented provision number."
6,5b9d9f69bf846610,Wenn ein angestellter Rechtsanwalt während einer Krankheit Zahlungen aus dem Unterstützungssystem der Rechtsanwaltskammer erhält – zählen diese als Arbeitslohn?,"Basierend auf dem Gesetzestext des Einkommensteuergesetzes (EStG) und insbesondere auf § 33, 62 bis 64 und 66, sowie § 34 Abs. 8, kann ich folgende Antwort geben:

Nein, Zahlungen aus dem Unterstützungssystem der Rechtsanwaltskammer, die ein angestellter Rechtsanwalt während einer Krankheit erhält, zählen nicht als Arbeitslohn. Dies liegt daran, dass diese Zahlungen nicht als ""Bezüge aus einer gesetzlichen Sozialversicherung"" im Sinne des § 34 Abs. 8 EStG gelten.

Gemäß § 34 Abs. 8 EStG ist der Pauschbetrag für ausschließlich körperlich tätige Arbeitnehmer höchstens 7,5% des vollen Betrages der Bezüge, während für andere Berufsgruppen, wie Rechtsanwälte, der Pauschbetrag höchstens 15% des vollen Betrages der Bezüge betragen darf. Da es sich bei den Zahlungen","Ja. Krankengeld aus einer Unterstützungseinrichtung einer Kammer gilt als Einkünfte aus nichtselbständiger Arbeit, wenn es im Zusammenhang mit einem bestehenden oder früheren Dienstverhältnis steht (z. B. seiner Anstellung in der Kanzlei). Erfolgt die Zahlung hingegen nur wegen der Kammermitgliedschaft ohne Dienstverhältnis, liegt keine Einkunft aus nichtselbständiger Arbeit vor.",§ 25 Abs. 1 Z 1 lit. e EStG 1988 (i.V.m. § 32 Z 1 EStG 1988),1.0,0.0,0.0,1.0,2.0,1.0,"""Einkünfte aus nichtselbständiger Arbeit sind: [...] e) Bezüge aus einer Kranken- oder Unfallversorgung der Versorgungs- und Unterstützungseinrichtungen der Kammern der selbständig Erwerbstätigen. Bezüge gemäß lit. c bis e, ausgenommen solche aus einer Unfallversorgung, sind nur dann Einkünfte aus nichtselbständiger Arbeit, wenn sie auf Grund eines bestehenden oder früheren Dienstverhältnisses zufließen."" (§ 25 Abs. 1 Z 1 lit. e EStG 1988)","The answer reaches the wrong conclusion (no) when the correct answer is yes (conditionally). The cited provisions – §§ 33, 62–64, 66 and § 34 Abs. 8 EStG (Pauschbeträge) – are entirely irrelevant to the question. Applying these provisions to a question about chamber sick-pay constitutes a hallucination."
7,5be3d45d85d100ea,Ein beschränkt steuerpflichtiger Vortragender bezieht Arbeitnehmerbezüge aus einer Tätigkeit im Sinne des § 99 Abs. 1 Z 1 EStG 1988. Kann dafür im Lohnsteuerabzug ein 20%-Satz zur Anwendung kommen?,"Nach § 99 Abs. 1 Z 1 EStG 1988 sind für Vortragende Sonderfälle der beschränkten Steuerpflicht vorgesehen. Ob hierbei der 20%-Satz zur Anwendung kommt, hängt von den genauen Umständen der Tätigkeit und der Einkünfte ab, da es sich um eine spezielle Regelung handelt. Die allgemeine Anwendbarkeit des 20%-Satzes auf alle beschränkt steuerpflichtigen Einkünfte ist hierbei nicht pauschal gegeben.",Ja. Für solche Bezüge sieht § 70 Abs. 2 Z 2 EStG 1988 einen besonderen Lohnsteuersatz von 20% des vollen Betrages vor.,§ 70 Abs. 2 Z 2 EStG 1988,2.0,1.0,1.0,1.0,3.0,0.0,"""Bei Bezügen als Arbeitnehmer aus einer Tätigkeit im Sinne des § 99 Abs. 1 Z 1 mit 20% des vollen Betrages dieser Bezüge."" (§ 70 Abs. 2 Z 2 EStG 1988)","The answer gives only a vague conditional response (""hängt von den genauen Umständen ab"") instead of confirming the 20% rate. § 70 Abs. 2 Z 2 EStG 1988 unambiguously provides a 20% lump-sum lohnsteuer rate for these Bezüge, without conditions. This provision is not cited in the answer."
8,5d907d9776eca4f7,"""Was kann als ""sonstigen Leistung"" gelten, die nicht in einer Lieferung besteht?""","Ziff 5 Abs. 5, wenn die Reisevorleistungen im Drittlandsgebiet bewirkt werden.","""Eine sonstige Leistung kann auch in einem Unterlassen oder im Dulden einer Handlung oder eines Zustandes bestehen.""",§ 3a Abs. 1 UStG 1994,0.0,0.0,0.0,0.0,1.0,1.0,"""Sonstige Leistungen sind Leistungen, die nicht in einer Lieferung bestehen. Eine sonstige Leistung kann auch in einem Unterlassen oder im Dulden einer Handlung oder eines Zustandes bestehen."" (§ 3a Abs. 1 UStG 1994)","The answer cites ""Ziff 5 Abs. 5"" about travel services in third countries – this is entirely fabricated and has no connection to the question. The correct answer (a sonstige Leistung includes Unterlassen and Dulden) is stated verbatim in § 3a Abs. 1 UStG 1994, which is not mentioned at all."
9,5dfb73fe848fda03,Welcher Wert ist bei der unentgeltlichen Übertragung eines land- und forstwirtschaftlichen Grundstücks als Wert des Grundstückes heranzuziehen?,"Die wichtigste Rechtsnorm für die Bestimmung des Werts eines land- und forstwirtschaftlichen Grundstücks bei unentgeltlicher Übertragung ist **§ 7 EStG**.  

**§ 7 EStG** regelt die Bewertung von land- und forstwirtschaftlichem Vermögen. Im Falle einer unentgeltlichen Übertragung eines solchen Grundstücks wird der **Firmenwert** als Grundlage für die Ermittlung des Verkehrswertes herangezogen. Der Firmenwert entspricht dem Gesamtwert des Grundstücks im Rahmen des Gesamtkaufpreises, der vom Erwerber für das gesamte Grundstück im Rahmen des gesamten Geschäftsbereichs angibt.


Es ist wichtig zu beachten, dass **§ 7 EStG** nur für **Land- und Forstwirte** und **Gewerbetreibende** gilt.","Gemäß § 6 Abs. 1 Z 1 GrEStG ist bei land- und forstwirtschaftlichen Grundstücken der Einheitswert anzusetzen, wobei jener Einheitswert maßgeblich ist, der auf den dem Erwerbsvorgang unmittelbar vorausgegangenen Feststellungszeitpunkt festgestellt ist.",§ 6 Abs. 1 Z 1 GrEStG 1987,0.0,0.0,0.0,0.0,2.0,1.0,"""Bei unentgeltlichen Erwerben gilt als Wert des Grundstückes: 1. bei land- und forstwirtschaftlichen Grundstücken der Einheitswert, wobei jener Einheitswert maßgeblich ist, der auf den dem Erwerbsvorgang unmittelbar vorausgegangenen Feststellungszeitpunkt festgestellt ist;"" (§ 6 Abs. 1 Z 1 GrEStG 1987)","The answer cites § 7 EStG and discusses ""Firmenwert"" – both are entirely wrong. § 7 EStG governs depreciation, not land valuation for transfer tax purposes. The correct provision is § 6 Abs. 1 Z 1 GrEStG 1987, which prescribes the Einheitswert for agricultural land. Both the law cited and the valuation concept used are hallucinated."
10,5e2fbd74dbc73b5d,"Frau Ort erhält als Begünstigte einer Privatstiftung im Bilanzerstellungszeitraum (Februar des Folgejahres, vor Bestätigung durch den Abschlussprüfer) eine Zuwendung von 15.000 Euro, die die Stiftung als Substanzauszahlung behandelt. Der Abschluss des Vorjahres ist noch nicht vom Abschlussprüfer bestätigt. Kann diese Zuwendung tatsächlich als Substanzauszahlung behandelt werden?","Gemäß § 13 Abs. 1 Privatstiftungsgesetz (PSG) dürfen Substanzauszahlungen nur dann erfolgen, wenn der Abschluss des Vorjahres vom Abschlussprüfer bestätigt wurde. Da im vorliegenden Fall der Abschluss des Vorjahres noch nicht bestätigt wurde, kann die Zuwendung von 15.000 Euro nicht als Substanzauszahlung behandelt werden.

Die Privatstiftung muss daher diese Zuwendung als Gewinnausschüttung behandeln und entsprechend versteuern. Frau Ort als Begünstigte muss diese Zuwendung als Einkommen aus Kapitalvermögen versteuern, gemäß § 27 Abs. 1 Einkommensteuergesetz (EStG). Die Privatstiftung muss außerdem die entsprechenden Abzüge für die Kapitalertragsteuer vornehmen, gemäß § 93 Abs. 1 EStG.","Nein. Gemäß § 27 Abs. 5 Z 8 lit. b letzter Satz EStG 1988 gelten Zuwendungen im Bilanzerstellungszeitraum ausdrücklich nicht als Substanzauszahlung, solange der im Jahresabschluss ausgewiesene Bilanzgewinn nicht vom Abschlussprüfer bestätigt ist. Da der Abschluss des Vorjahres zum Zeitpunkt der Zuwendung im Februar noch nicht vom Abschlussprüfer bestätigt wurde, kann die Zuwendung von 15.000 Euro nicht als Substanzauszahlung qualifiziert werden. Sie stellt daher in vollem Umfang eine steuerpflichtige Zuwendung im Sinne des § 27 Abs. 5 Z 7 EStG 1988 dar und unterliegt als Einkünfte aus Kapitalvermögen der Besteuerung.",§ 27 Abs. 5 Z 7 EStG 1988; § 27 Abs. 5 Z 8 lit. b EStG 1988,4.0,2.0,3.0,4.0,4.0,0.0,"""Zuwendungen im Bilanzerstellungszeitraum gelten nicht als Substanzauszahlungen im Sinne des Z 7, wenn und soweit der im Jahresabschluss ausgewiesene Bilanzgewinn vom Abschlussprüfer noch nicht bestätigt ist."" (§ 27 Abs. 5 Z 8 lit. b letzter Satz EStG 1988)","The conclusion is correct (no, cannot be treated as Substanzauszahlung) and the tax consequence (taxable Kapitalvermögen) is correctly identified. However, the answer cites § 13 Abs. 1 PSG (Privatstiftungsgesetz) instead of the directly governing § 27 Abs. 5 Z 8 lit. b EStG 1988. The reasoning is therefore not grounded in the provided legal source."
