id;Full Reference;train
SYN-009;§ 21 UStG - Voranmeldung;Wann muss die Umsatzsteuervoranmeldung (UVA) in Österreich eingereicht werden? Die Voranmeldung ist spätestens am 15. Tag des auf einen Kalendermonat zweitfolgenden Monats einzureichen (z.B. 15. März für den Januar).
SYN-010;§ 1 EStG - Unbeschränkte Steuerpflicht;Wer ist in Österreich unbeschränkt einkommensteuerpflichtig? Natürliche Personen, die im Inland einen Wohnsitz oder ihren gewöhnlichen Aufenthalt haben, sind mit allen in- und ausländischen Einkünften steuerpflichtig.
SYN-011;§ 7 KStG - Körperschaftsteuersatz;Wie hoch ist der Steuersatz für juristische Personen (GmbH, AG) in Österreich? Der Steuersatz der Körperschaftsteuer beträgt aktuell 23% vom Einkommen (seit der Senkung 2024).
SYN-012;§ 24 KStG - Mindestkörperschaftsteuer;Wie hoch ist die Mindestkörperschaftsteuer für eine neu gegründete GmbH? Für die ersten fünf Jahre beträgt sie 125 Euro pro Quartal (500 Euro pro Jahr), für die folgenden fünf Jahre 250 Euro pro Quartal.
SYN-013;§ 16 EStG - Werbungskosten;Was versteht man unter Werbungskosten bei den Einkünften aus nichtselbständiger Arbeit? Werbungskosten sind Aufwendungen zur Erwerbung, Sicherung oder Erhaltung der Einnahmen, wie z.B. Pendlerpauschale, Arbeitsmittel oder Fachliteratur.
SYN-014;§ 19 UStG - Übergang der Steuerschuld;Was bedeutet Reverse Charge im österreichischen Umsatzsteuerrecht? Beim Reverse-Charge-System geht die Steuerschuld auf den Leistungsempfänger über, insbesondere bei Bauleistungen oder grenzüberschreitenden Dienstleistungen zwischen Unternehmern (B2B).
SYN-015;§ 27 EStG - Einkünfte aus Kapitalvermögen;Wie hoch ist der besondere Steuersatz für Einkünfte aus realisierten Wertsteigerungen von Wertpapieren? Der Steuersatz für Kapitalerträge (KESt) aus Wertpapieren und Bankguthaben beträgt grundsätzlich 27,5%.
SYN-016;§ 48 BAO - Doppelbesteuerung;Wie vermeidet Österreich die Doppelbesteuerung bei Auslandsbezug? Österreich wendet zur Vermeidung der Doppelbesteuerung entweder die Befreiungsmethode (unter Progressionsvorbehalt) oder die Anrechnungsmethode an, basierend auf Doppelbesteuerungsabkommen (DBA).
SYN-017;§ 11 UStG - Rechnungsmerkmale;Welche Angaben muss eine Rechnung über 400 Euro zwingend enthalten? Namen/Anschrift von Lieferant und Empfänger, Menge/Bezeichnung der Ware, Tag der Lieferung, Entgelt, Steuersatz, Steuerbetrag, Ausstellungsdatum und UID-Nummer.
SYN-018;§ 22 EStG - Einkünfte aus selbständiger Arbeit;Was zählt zu den Einkünften aus selbständiger Arbeit? Dazu gehören Einkünfte aus freiberuflicher Tätigkeit (z.B. Ärzte, Rechtsanwälte, Ziviltechniker) sowie aus einer sonstigen selbständigen Tätigkeit (z.B. Aufsichtsräte).
SYN-019;§ 13 UStG - Entstehung der Steuerschuld;Wann entsteht die Umsatzsteuerschuld bei der Sollbesteuerung? Die Steuerschuld entsteht mit Ablauf des Kalendermonats, in dem die Lieferung oder sonstige Leistung ausgeführt worden ist.
SYN-020;§ 18 EStG - Kirchenbeitrag;Bis zu welchem Betrag kann der Kirchenbeitrag als Sonderausgabe abgesetzt werden? Der Kirchenbeitrag ist bis zu einem Höchstbetrag von 400 Euro pro Kalenderjahr abzugsfähig.
SYN-021;§ 3 EStG - Steuerfreie Einnahmen;Nennen Sie ein Beispiel für steuerfreie Einnahmen gemäß § 3 EStG. Steuerfrei sind unter anderem das Arbeitslosengeld, das Wochengeld, Beihilfen nach dem Studienförderungsgesetz und das Kinderbetreuungsgeld.
SYN-022;§ 93 EStG - Abzug der Kapitalertragsteuer;Wer ist für den Abzug der KESt bei Inlandsdepots verantwortlich? Die kuponauszahlende Stelle (in der Regel die Bank) ist verpflichtet, die Kapitalertragsteuer einzubehalten und an das Finanzamt abzuführen.
SYN-023;§ 20 EStG - Nicht abzugsfähige Ausgaben;Welche Kosten dürfen steuerlich nicht als Betriebsausgaben geltend gemacht werden? Kosten der Lebensführung (Repräsentationsaufwendungen), unangemessene PKW-Kosten (Luxustangente über 40.000 Euro) und Geldstrafen.
SYN-024;§ 6 UStG - Unechte Steuerbefreiung;Was ist der Nachteil einer unechten Steuerbefreiung? Bei einer unechten Steuerbefreiung (z.B. für Kleinunternehmer oder Versicherungen) entfällt das Recht auf den Vorsteuerabzug für eingekaufte Leistungen.
SYN-025;§ 26 EStG - Reiseaufwendungen;Wie hoch ist das amtliche Kilometergeld für PKW in Österreich? Das amtliche Kilometergeld zur Abgeltung aller Kosten beträgt 0,42 Euro pro gefahrenem Kilometer (Stand 2024/2025).
SYN-026;§ 97 BAO - Erlass von Bescheiden;Wann wird ein Steuerbescheid rechtlich wirksam? Ein Bescheid wird wirksam, sobald er dem Empfänger ordnungsgemäß zugestellt wurde.
SYN-027;§ 4 KStG - Gemeinnützigkeit;Wann ist eine Körperschaft von der Körperschaftsteuer befreit? Wenn sie ausschließlich und unmittelbar gemeinnützige, mildtätige oder kirchliche Zwecke verfolgt und keine Gewinnerzielungsabsicht besteht.
SYN-028;§ 108c EStG - Forschungsprämie;Wie hoch ist die Forschungsprämie für Unternehmen in Österreich? Unternehmen können für eigenbetriebliche Forschung und experimentelle Entwicklung eine Prämie in Höhe von 14% der Forschungsaufwendungen beantragen.
